"","Runner_Full_Name","Target.Base","Count","avg_LeadGained","avg_FirstMove","avg_atRelease"
"1","Abrams, CJ","2B",35,9.68571428571429,12.3828571428571,22.0628571428571
"2","Abrams, CJ","3B",5,13.94,15.58,29.52
"3","Acuña Jr., Ronald","2B",58,11.0534482758621,11.7086206896552,22.7586206896552
"4","Acuña Jr., Ronald","3B",10,18.74,14.2,32.96
"5","Albies, Ozzie","2B",14,10.6285714285714,11.1,21.7214285714286
"6","Altuve, Jose","2B",12,12.575,10.8833333333333,23.4416666666667
"7","Altuve, Jose","3B",1,14.1,13.8,27.9
"8","Anderson, Tim","2B",8,11.8,10.8625,22.6625
"9","Anderson, Tim","3B",2,14.15,14.05,28.2
"10","Andrus, Elvis","2B",9,11.2666666666667,11.5222222222222,22.7555555555556
"11","Andrus, Elvis","3B",3,16.2333333333333,16.9333333333333,33.1333333333333
"12","Arozarena, Randy","2B",24,10.9041666666667,11.9083333333333,22.8208333333333
"13","Arozarena, Randy","3B",4,11.525,17.175,28.7
"14","Azócar, José","2B",8,9.525,12.2125,21.75
"15","Azócar, José","3B",2,16.1,11.8,27.9
"16","Baddoo, Akil","2B",14,9.67857142857143,11.7857142857143,21.4785714285714
"17","Bader, Harrison","2B",21,10.6809523809524,10.5571428571429,21.247619047619
"18","Bader, Harrison","3B",1,15.8,15.5,31.2
"19","Bae, Ji Hwan","2B",20,10.46,11.8,22.25
"20","Bae, Ji Hwan","3B",6,13.75,13.65,27.4333333333333
"21","Bellinger, Cody","2B",20,10.72,11.815,22.53
"22","Bellinger, Cody","3B",2,9.6,16.35,25.9
"23","Benintendi, Andrew","2B",11,11.6454545454545,10.2181818181818,21.8636363636364
"24","Benintendi, Andrew","3B",2,15.75,15.65,31.35
"25","Benson, Will","2B",15,9.85333333333333,11.6066666666667,21.46
"26","Benson, Will","3B",3,12,13.7666666666667,25.8
"27","Berti, Jon","2B",16,9.2125,12.5875,21.8125
"28","Berti, Jon","3B",3,15.4666666666667,14.7666666666667,30.2333333333333
"29","Betts, Mookie","2B",14,13.9642857142857,12.7857142857143,26.75
"30","Betts, Mookie","3B",2,10.3,14.8,25.05
"31","Bichette, Bo","2B",7,13.3857142857143,12.9428571428571,26.3428571428571
"32","Bichette, Bo","3B",1,3,11.7,14.7
"33","Blanco, Dairon","2B",19,8.44736842105263,11.3421052631579,19.7842105263158
"34","Blanco, Dairon","3B",8,13.3375,14.8875,28.2625
"35","Bogaerts, Xander","2B",12,11.575,11.475,23.0416666666667
"36","Bogaerts, Xander","3B",6,14.4333333333333,17.7166666666667,32.1666666666667
"37","Brennan, Will","2B",14,9.31428571428571,11.75,21.0714285714286
"38","Brennan, Will","3B",1,1.4,12.5,13.9
"39","Buxton, Byron","2B",8,10.3125,10.5125,20.825
"40","Báez, Javier","2B",11,9.15454545454545,10.6181818181818,19.7818181818182
"41","Báez, Javier","3B",1,16.6,12.2,28.9
"42","Caballero, José","2B",19,11.2263157894737,12.7315789473684,23.9578947368421
