,player_name,pitch_classification,Count,avg_speed,avg_extension,avg_flight_time,p_throws
1,"Chapman, Aroldis",Break,137,87.7649635,7.267883212,0.413682439,L
2,"Chapman, Aroldis",Fast,285,99.5322807,7.163859649,0.365476521,L
3,"Chapman, Aroldis",Off,20,90.44,7.415,0.400357259,L
4,"Chapman, Aroldis",Other,10,79.2,7.3,0.45798794,L
5,"Dunning, Dane",Break,262,81.64923664,6.714122137,0.44946573,R
6,"Dunning, Dane",Fast,619,90.20452342,6.854119548,0.405571477,R
7,"Dunning, Dane",Off,187,85.53368984,6.805347594,0.428072293,R
8,"Dunning, Dane",Other,2,NA,NA,NA,R
9,"Eovaldi, Nathan",Break,133,77.81428571,6.793984962,0.471536106,R
10,"Eovaldi, Nathan",Fast,456,93.17434211,6.849780702,0.392874089,R
11,"Eovaldi, Nathan",Off,237,87.5257384,6.835021097,0.418141096,R
12,"Gray, Jon",Break,447,86.19328859,6.523713647,0.427782939,R
13,"Gray, Jon",Fast,375,95.88346667,6.613333333,0.383209675,R
14,"Gray, Jon",Off,111,88.98738739,6.622522523,0.412849994,R
15,"Gray, Jon",Other,10,87.13333333,6.333333333,0.424146574,R
16,"Heaney, Andrew",Break,283,82.14982332,6.35795053,0.449508034,L
17,"Heaney, Andrew",Fast,624,92.5025641,6.492147436,0.398126277,L
18,"Heaney, Andrew",Off,187,84.24010695,6.487700535,0.437200475,L
19,"Heaney, Andrew",Other,2,NA,NA,NA,L
20,"Leclerc, José",Break,118,83.06610169,5.626271186,0.450521547,R
21,"Leclerc, José",Fast,224,93.96919643,5.603571429,0.398613891,R
22,"Leclerc, José",Off,62,88.51451613,5.65,0.422570691,R
23,"Leclerc, José",Other,9,NA,NA,NA,R
24,"Montgomery, Jordan",Break,280,80.74321429,6.559642857,0.455577175,L
25,"Montgomery, Jordan",Fast,637,93.22590267,6.562106918,0.394565983,L
26,"Montgomery, Jordan",Off,296,83.6722973,6.646621622,0.438898379,L
27,"Pérez, Martín",Break,36,79.78055556,5.988888889,0.466089702,L
28,"Pérez, Martín",Fast,637,91.08037677,5.958712716,0.408425087,L
29,"Pérez, Martín",Off,264,84.24772727,5.956439394,0.441484996,L
30,"Pérez, Martín",Other,5,NA,NA,NA,L
31,"Sborz, Josh",Break,190,87.68789474,6.118947368,0.423060515,R
32,"Sborz, Josh",Fast,124,97.03467742,6.136290323,0.382010732,R
33,"Smith, Will",Break,229,80.88515284,6.16069869,0.458344438,R
34,"Smith, Will",Fast,135,92.68592593,6.202962963,0.399475328,R
35,"Smith, Will",Off,10,87.14,6.26,0.42443559,R
36,"Smith, Will",Other,17,NA,NA,NA,R
