Date,Catcher_Name,Pitcher_Name,Runner_Name,Fielder_Name,Throw Type,Base,Result,Est_CS%,Catchers_CS_Above_Average,Throw_Speed,Exchange,Accuracy,Teamwork,Not_Tracked,Catcher_Full_Name,Catcher_ID
3/31/2023,"Moreno, G.","Kelly, M.","Peralta, D.","Marte, K.",Ground,2B,CS,21%,0.79,0,0.15,0.04,0.6,0,"Moreno, Gabriel",672515
4/1/2023,"Moreno, G.","Bumgarner, M.","Freeman, F.","Marte, K.",On Fly,2B,CS,20%,0.8,-0.03,-0.03,0.24,0.61,0,"Moreno, Gabriel",672515
4/10/2023,"Moreno, G.","Gallen, Z.","Turang, B.","Marte, K.",On Fly,2B,CS,13%,0.87,0.02,0.11,0.13,0.6,0,"Moreno, Gabriel",672515
4/11/2023,"Moreno, G.","Kelly, M.","Wiemer, J.","Rojas, J.",On Fly,3B,CS,12%,0.88,0.02,0.07,0.09,0.71,0,"Moreno, Gabriel",672515
4/11/2023,"Moreno, G.","Kelly, M.","Wiemer, J.","Marte, K.",Ground,2B,SB,13%,-0.13,0.01,0.11,-0.04,-0.21,0,"Moreno, Gabriel",672515
4/14/2023,"Moreno, G.","Bumgarner, M.","Berti, J.",No Throw,Held,3B,SB,0%,0,0,0,0,0,0,"Moreno, Gabriel",672515
4/17/2023,"Moreno, G.","Kelly, M.","Contreras, W.",No Throw,Held,3B,SB,1%,-0.01,0,-0.01,0,0,0,"Moreno, Gabriel",672515
4/20/2023,"Moreno, G.","Ruiz, J.","Grisham, T.","Marte, K.",On Fly,2B,CS,26%,0.74,0.04,0.05,0.19,0.46,0,"Moreno, Gabriel",672515
4/25/2023,"Moreno, G.","Nelson, R.","Isbel, K.","Rojas, J.",On Fly,3B,CS,61%,0.39,0,-0.1,0.14,0.36,0,"Moreno, Gabriel",672515
5/6/2023,"Moreno, G.","Henry, T.","Robles, V.","Marte, K.",On Fly,2B,CS,21%,0.79,-0.05,0.02,0.25,0.57,0,"Moreno, Gabriel",672515
5/9/2023,"Moreno, G.","McGough, S.","Berti, J.","Ahmed, N.",On Fly,2B,CS,30%,0.7,0.08,0.01,-0.05,0.67,0,"Moreno, Gabriel",672515
5/9/2023,"Moreno, G.","Pfaadt, B.","Chisholm Jr., J.","Marte, K.",On Fly,2B,SB,28%,-0.28,0,0.11,0.16,-0.55,0,"Moreno, Gabriel",672515
5/9/2023,"Moreno, G.","Pfaadt, B.","Chisholm Jr., J.","Marte, K.",Ground,2B,SB,15%,-0.15,0.03,0.08,-0.07,-0.18,0,"Moreno, Gabriel",672515
5/11/2023,"Moreno, G.","Henry, T.","Estrada, T.","Rojas, J.",On Fly,3B,CS,9%,0.91,-0.01,0.12,0.07,0.74,0,"Moreno, Gabriel",672515
5/11/2023,"Moreno, G.","Henry, T.","Estrada, T.","Marte, K.",On Fly,2B,SB,16%,-0.16,0,0.08,0.07,-0.31,0,"Moreno, Gabriel",672515
