"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2023-09-25","95.2","-1.86","5.53","Gray, Jon",694384,592351,,"called_strike",,,,,1,,"R","L","R","LAA","TEX","S",,,3,1,2023,"-0.69","1.19",-0.6849462986595347,3.0100473653583366,,,683021,1,5,"Bot",,,,,,,4.635829985835505,-138.50347263967512,-3.65113491953362,-9.883029709283374,31.583781267976676,-16.21552569205762,3.55684587248953,1.69967463608037,,,,"95.3",2057,"6.4",716440,641680,663993,543760,673962,608369,543257,665750,666969,"54.09",,,,,,,,40,5,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Strategic","Standard",220,"-0.051","-0.069",,,,,"0.069",,1,1,0.724,0.724,31,21,32,21,3,2,5,2,23,4,"1.33","0.69","-0.69","27.0",,,,,
"FF","2023-09-25","95.6","-2","5.54","Gray, Jon",694384,592351,,"ball",,,,,11,,"R","L","R","LAA","TEX","B",,,2,1,2023,"-0.55","1.01",-1.3714254835768753,3.7004550782219434,,,683021,1,5,"Bot",,,,,,,2.917877466769948,-139.20436542430264,-1.5205743410789954,-7.820284754631015,30.6644732908068,-18.88644712953353,3.53364321905125,1.72278964805687,,,,"96",2548,"6.5",716440,641680,663993,543760,673962,608369,543257,665750,666969,"54.04",,,,,,,,40,4,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",183,"0.011","0.1",,,,,"-0.1",,1,1,0.713,0.713,31,21,32,21,3,2,5,2,23,4,"1.48","0.55","-0.55","26.8",,,,,
"SL","2023-09-25","87.5","-1.96","5.78","Gray, Jon",694384,592351,,"ball",,,,,13,,"R","L","R","LAA","TEX","B",,,1,1,2023,"0.04","0.4",-1.0074030005187244,2.0906271881726264,,,683021,1,5,"Bot",,,,,,,2.24064762784576,-127.49310362195558,-3.6431251071424673,-0.007036636900673333,25.438656829994407,-27.25398304007505,3.53364321905125,1.76902386086324,,,,"88.3",2117,"6.7",716440,641680,663993,543760,673962,608369,543257,665750,666969,"53.84",,,,,,,,40,3,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",254,"0.004","0.046",,,,,"-0.046",,1,1,0.709,0.709,31,21,32,21,3,2,5,2,23,4,"2.56","-0.04","0.04","33.9",,,,,
"FF","2023-09-25","95.6","-1.9","5.52","Gray, Jon",694384,592351,,"foul",,,,,2,,"R","L","R","LAA","TEX","S",,,1,0,2023,"-0.77","1.31",0.0444001377769212,3.436690041349558,,,683021,1,5,"Bot",,,,,,,6.879928781258948,-138.95844399830074,-2.789477490647358,-11.507941699532982,33.10712831244842,-14.805407567714314,3.39,1.66,231,"75.6",23,"95.7",2069,"6.5",716440,641680,663993,543760,673962,608369,543257,665750,666969,"53.96",,,,,,,,40,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",207,"-0.004","-0.053","60.2","5.3",,,"0.053","88.0",1,1,0.713,0.713,31,21,32,21,3,2,5,2,23,4,"1.2","0.77","-0.77","27.9",-7.530521156724313,19.658791222622657,38.12848661522135,33.2841199987753,11.453036402305266
"CH","2023-09-25","90.5","-1.84","5.59","Gray, Jon",694384,592351,,"ball",,,,,14,,"R","L","R","LAA","TEX","B",,,0,0,2023,"-1.25","0.73",0.39001653354354104,1.36351207880915,,,683021,1,5,"Bot",,,,,,,8.266045128628098,-131.33985835211578,-6.11675339843134,-16.22019961591909,29.858700503287682,-22.576333911025117,3.51044194402085,1.69967463608037,,,,"90.7",1583,"6.7",716440,641680,663993,543760,673962,608369,543257,665750,666969,"53.76",,,,,,,,40,1,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",234,"0.003","0.036",,,,,"-0.036",,1,1,0.71,0.71,31,21,32,21,3,2,5,2,23,4,"2.09","1.25","-1.25","31.0",,,,,
"SL","2023-09-25","88","-2","5.69","Gray, Jon",666176,592351,"strikeout","called_strike",,,,,4,"Jo Adell called out on strikes.","R","R","R","LAA","TEX","S",2,,3,2,2023,"0.08","0.36",-0.6672810383078874,2.8605649148000074,,,681351,2,4,"Bot",,,,,,,3.0804281109874743,-128.29460847604167,-1.5958844669585948,0.3533347828527711,23.890003063103908,-28.024080115114412,3.696090700441,1.88463383016799,,,,"88.7",1970,"6.4",716440,641680,663993,543760,673962,608369,543257,665750,666969,"54.08",,0,"0",1,0,0,,34,6,"Slider",1,0,1,0,0,1,1,0,"Strategic","Standard",205,"-0.025","-0.304",,,,,"0.304",,1,1,0.663,0.663,31,24,32,24,2,1,5,1,23,1,"2.55","-0.08","-0.08","31.7",,,,,
"FF","2023-09-25","96.3","-2.04","5.53","Gray, Jon",666176,592351,,"ball",,,,,11,,"R","R","R","LAA","TEX","B",,,2,2,2023,"-0.83","1.1",-1.368954070720675,4.532979188135101,,,681351,2,4,"Bot",,,,,,,3.7144475240042527,-140.29645065439922,0.42006670228677156,-11.811014326307697,31.624461679384034,-17.96207396621658,3.92827519173792,1.86150904334659,,,,"97.2",1977,"6.8",716440,641680,663993,543760,673962,608369,543257,665750,666969,"53.75",,,,,,,,34,5,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",222,"0.006","0.065",,,,,"-0.065",,1,1,0.657,0.657,31,24,32,24,2,1,5,1,23,1,"1.35","0.83","0.83","26.2",,,,,
"SL","2023-09-25","89.8","-1.91","5.56","Gray, Jon",666176,592351,,"blocked_ball",,,,,14,,"R","R","R","LAA","TEX","B",,,1,2,2023,"0.23","0.44",1.1053063700976486,0.6466285401849283,,,681351,2,4,"Bot",,,,,,,7.015151151437246,-130.49262783083182,-7.178604521854684,1.2735766691845105,25.919036552886904,-25.830694647046435,3.78894806222373,1.88463383016799,,,,"90.5",2293,"6.6",716440,641680,663993,543760,673962,608369,543257,665750,666969,"53.86",,,,,,,,34,4,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",227,"0.004","0.034",,,,,"-0.034",,1,1,0.653,0.653,31,24,32,24,2,1,5,1,23,1,"2.38","-0.23","-0.23","32.8",,,,,
"SL","2023-09-25","89.2","-2.06","5.55","Gray, Jon",666176,592351,,"called_strike",,,,,7,,"R","R","R","LAA","TEX","S",,,1,1,2023,"0.22","0.31",-0.3102384385552429,2.4413581383648646,,,681351,2,4,"Bot",,,,,,,3.8727276025062936,-129.95384480551985,-2.346087663140518,1.7386475794780394,25.476821884706844,-28.362895872023422,3.78894806222373,1.90776001348539,,,,"90",2371,"6.6",716440,641680,663993,543760,673962,608369,543257,665750,666969,"53.92",,,,,,,,34,3,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",172,"-0.006","-0.06",,,,,"0.06",,1,1,0.659,0.659,31,24,32,24,2,1,5,1,23,1,"2.53","-0.22","-0.22","29.9",,,,,
"SL","2023-09-25","90.5","-1.98","5.58","Gray, Jon",666176,592351,,"ball",,,,,14,,"R","R","R","LAA","TEX","B",,,0,1,2023,"-0.22","0.79",0.8833484024650047,1.3292515808631138,,,681351,2,4,"Bot",,,,,,,7.683074621629373,-131.53831202079763,-6.400505392087061,-4.203897877220189,27.303547839920398,-21.854317419658756,3.83538496720828,1.95401656957264,,,,"91.3",2455,"6.8",716440,641680,663993,543760,673962,608369,543257,665750,666969,"53.69",,,,,,,,34,2,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",175,"0.002","0.025",,,,,"-0.025",,1,1,0.657,0.657,31,24,32,24,2,1,5,1,23,1,"2","0.22","0.22","27.9",,,,,
