"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2023-09-30","93.1","3.1","4.9","Heaney, Andrew",641487,571760,"single","hit_into_play",,,,,2,"J.P. Crawford singles on a fly ball to center fielder Leody Taveras, deflected by second baseman Marcus Semien. Ty France to 3rd. Sam Haggerty to 2nd.","R","L","L","SEA","TEX","X",4,"fly_ball",1,0,2023,"1.52","1.2",0.24887253404686294,3.3362281229417183,,664034,664059,1,5,"Bot",155.26,114.88,,,,,-10.697484646097136,-135.14349574721507,-0.826228242954018,21.028550460252877,31.101468716072674,-17.571548612138237,3.24,1.53,224,"69.6",42,"93.1",2358,"6.6",716366,641680,663993,543760,673962,608369,694497,665750,666969,"53.95",0.4,0.411,"0.9",1,1,0,3,48,2,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Standard","Standard",122,"0.042","0.442","70.8","7.4",,0.518,"-0.442","88.0",-5,-5,0.11,0.11,32,28,32,28,3,2,2,1,7,1,"1.46","1.52","1.52","26.3",14.21296170430687,-7.576036688820399,23.7594516128997,36.37240138742617,40.11617517154274
"FF","2023-09-30","92.5","2.94","5.01","Heaney, Andrew",641487,571760,,"ball",,,,,12,,"R","L","L","SEA","TEX","B",,,0,0,2023,"1.44","1.19",0.3425127955859413,4.162849694844664,,664034,664059,1,5,"Bot",,,,,,,-9.810109456453317,-134.38071729842264,1.1068677177110375,19.645338985680713,30.22329813298082,-18.34064391614698,3.27076415222906,1.59548034733105,,,,"92.7",2338,"6.6",716366,641680,663993,543760,673962,608369,694497,665750,666969,"53.94",,,,,,,,48,1,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Standard","Standard",124,"0.005","0.042",,,,,"-0.042",,-5,-5,0.105,0.105,32,28,32,28,3,2,2,1,7,1,"1.5","1.44","1.44","30.7",,,,,
"SL","2023-09-30","78.4","3.13","4.99","Heaney, Andrew",664059,571760,"single","hit_into_play",,,,,5,"Sam Haggerty singles on a ground ball to left fielder Evan Carter. Ty France to 2nd.","R","R","L","SEA","TEX","X",7,"ground_ball",2,1,2023,"-0.99","-0.36",0.07527133858880242,2.1187482871483048,,,664034,1,5,"Bot",81.04,120.66,,,,,-4.755680708889581,-114.11022246956728,1.3490004415879095,-7.656636209868928,22.315834115913887,-35.7866341316463,3.23,1.51,14,"97.9",-8,"77.9",2577,"6.1",716366,641680,663993,543760,673962,608369,694497,665750,666969,"54.42",0.305,0.283,"0.9",1,1,0,2,47,4,"Slider",0,5,0,5,5,0,0,5,"Standard","Standard",301,"0.025","0.387","67.2","7.2",,0.33,"-0.387","97.9",-5,-5,0.08,0.08,32,29,32,29,2,1,2,1,7,,"4.08","-0.99","0.99","27.7",0.057904089782329,-5.852006480088028,29.789159714318682,40.3562735303624,31.595227328603805
"FF","2023-09-30","90.7","3.06","4.96","Heaney, Andrew",664059,571760,,"called_strike",,,,,12,,"R","R","L","SEA","TEX","S",,,2,0,2023,"1.37","1.13",0.24929998561224131,3.3327119869610806,,,664034,1,5,"Bot",,,,,,,-9.964730809752067,-131.63870436985817,-0.5053135776741691,18.036149086663,29.04900663063917,-19.192094933812175,3.20046932958414,1.49352686948139,,,,"90.7",2312,"6.5",716366,641680,663993,543760,673962,608369,694497,665750,666969,"53.98",,,,,,,,47,3,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Standard","Standard",122,"-0.005","-0.061",,,,,"0.061",,-5,-5,0.085,0.085,32,29,32,29,2,1,2,1,7,,"1.66","1.37","-1.37","31.9",,,,,
"SL","2023-09-30","79.6","3.23","5.01","Heaney, Andrew",664059,571760,,"ball",,,,,14,,"R","R","L","SEA","TEX","B",,,1,0,2023,"-0.82","-0.4",1.0757199135951971,2.2503904961571433,,,664034,1,5,"Bot",,,,,,,-3.1894954620554556,-115.89421753492468,1.4447169649732687,-6.7641857897739355,21.763774634739466,-36.30841397217702,3.23064078934659,1.51000020249219,,,,"79.3",2497,"6",716366,641680,663993,543760,673962,608369,694497,665750,666969,"54.46",,,,,,,,47,2,"Slider",0,5,0,5,5,0,0,5,"Standard","Standard",298,"0.005","0.054",,,,,"-0.054",,-5,-5,0.08,0.08,32,29,32,29,2,1,2,1,7,,"4","-0.82","0.82","29.0",,,,,
"CH","2023-09-30","84","3.1","5.12","Heaney, Andrew",664059,571760,,"ball",,,,,12,,"R","R","L","SEA","TEX","B",,,0,0,2023,"1.37","0.32",1.7247442357785472,3.3641134244147493,,,664034,1,5,"Bot",,,,,,,-5.8988256776909695,-122.10234396604439,1.7467080806573758,14.861384590533834,25.430601253222733,-29.553197666979784,3.29241628820645,1.51000003707316,,,,"83.9",1940,"6.4",716366,641680,663993,543760,673962,608369,694497,665750,666969,"54.1",,,,,,,,47,1,"Changeup",0,5,0,5,5,0,0,5,"Standard","Standard",109,"0.003","0.036",,,,,"-0.036",,-5,-5,0.077,0.077,32,29,32,29,2,1,2,1,7,,"2.93","1.37","-1.37","31.0",,,,,
"FF","2023-09-30","91.9","2.99","4.93","Heaney, Andrew",668942,571760,"field_out","hit_into_play",,,,,6,"Josh Rojas flies out to center fielder Leody Taveras.","R","L","L","SEA","TEX","X",8,"fly_ball",3,2,2023,"1.34","1.11",0.47445152348017605,2.8934741238669694,,,664034,0,5,"Bot",95.84,83.62,,,,,-9.313696912514919,-133.46847164605796,-1.6857864051573654,18.03033036688794,29.766617072012657,-18.773118078190887,3.52,1.68,298,"84.3",32,"92.2",2337,"6.6",716366,641680,663993,543760,673962,608369,694497,665750,666969,"53.86",0.029,0.028,"0",1,0,0,3,46,6,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",122,"-0.03","-0.303","66.6","6.4",,0.046,"0.303","88.0",-5,-5,0.107,0.107,32,29,32,29,2,1,2,1,7,1,"1.61","1.34","1.34","31.5",7.274889098710607,9.51081243573052,30.872134875066592,33.362320501020164,21.15445139687796
"FF","2023-09-30","93.4","3.05","5","Heaney, Andrew",668942,571760,,"ball",,,,,12,,"R","L","L","SEA","TEX","B",,,2,2,2023,"1.31","1.12",0.3992560904596618,3.7917401356518976,,,664034,0,5,"Bot",,,,,,,-9.70034537611725,-135.57796133985164,0.22003022427039132,18.337093145917446,31.23966195572212,-18.656251686339083,3.54390263064422,1.72214843087648,,,,"93.2",2346,"6.4",716366,641680,663993,543760,673962,608369,694497,665750,666969,"54.1",,,,,,,,46,5,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",120,"0.01","0.088",,,,,"-0.088",,-5,-5,0.097,0.097,32,29,32,29,2,1,2,1,7,1,"1.51","1.31","1.31","32.1",,,,,
"FF","2023-09-30","93.3","2.98","5.09","Heaney, Andrew",668942,571760,,"ball",,,,,12,,"R","L","L","SEA","TEX","B",,,1,2,2023,"1.44","1.15",1.0026624866263119,4.060253747598388,,,664034,0,5,"Bot",,,,,,,-8.263926968430292,-135.57774837326463,0.6288838015906167,19.559710515614537,30.927883587526008,-18.366424759815885,3.55200888155182,1.68000158310869,,,,"93.4",2369,"6.5",716366,641680,663993,543760,673962,608369,694497,665750,666969,"53.99",,,,,,,,46,4,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",124,"0.003","0.045",,,,,"-0.045",,-5,-5,0.094,0.094,32,29,32,29,2,1,2,1,7,1,"1.48","1.44","1.44","29.5",,,,,
"SL","2023-09-30","81.7","3.1","5.02","Heaney, Andrew",668942,571760,,"foul",,,,,8,,"R","L","L","SEA","TEX","S",,,1,1,2023,"-0.37","0.33",-0.15218942292802212,2.0857588641590685,,,664034,0,5,"Bot",,,,,,,-6.612477809298862,-118.87184744659046,-0.6788319300278027,-2.3013139386021475,22.017673175457873,-29.143785320401694,3.52,1.68,156,"73.5",67,"81.9",2491,"6.4",716366,641680,663993,543760,673962,608369,694497,665750,666969,"54.12",,,,,,,,46,3,"Slider",0,5,0,5,5,0,0,5,"Infield shade","Standard",296,"-0.006","-0.059","65.9","7.9",,,"0.059","88.0",-5,-5,0.1,0.1,32,29,32,29,2,1,2,1,7,1,"3.08","-0.37","-0.37","32.0",12.622607218371677,-2.977365924940075,34.1193922207625,40.97616024827958,28.63796250471607
