"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FC","2023-09-27","90.4","-1.58","5.89","Leclerc, José",681351,600917,"field_out","hit_into_play",,,,,6,"Logan O'Hoppe flies out to left fielder Evan Carter.","R","R","R","LAA","TEX","X",7,"fly_ball",0,0,2023,"0.55","0.46",0.6621097285563537,2.645439632770006,,,687263,2,9,"Bot",97.11,102.87,,,,,4.345570434513951,-131.5851802356667,-3.1002672720996545,5.452242070114773,28.15874036283762,-26.33698345910545,3.23,1.58,251,"77.4",45,"89.2",2530,"5.5",716420,641680,663993,543760,673962,608369,694497,665750,666969,"54.98",0.084,0.081,"0",1,0,0,3,72,1,"Cutter",0,5,0,5,5,0,0,5,"Standard","Standard",135,"-0.001","-0.286","71.1","7.8",,0.102,"0.286","88.0",-5,-5,0.001,0.001,29,23,30,23,1,3,3,1,1,2,"2.33","-0.55","-0.55","34.8",18.699427999265236,-13.096728276015009,28.016409100596462,42.803582652405495,39.565311089864416
"FF","2023-09-27","97.7","-1.04","6.11","Leclerc, José",519058,600917,"strikeout","swinging_strike",,,,,11,"Mike Moustakas strikes out swinging.","R","L","R","LAA","TEX","S",2,,1,2,2023,"-0.16","1.55",-0.24173194598935643,4.2721977601040235,,,687263,1,9,"Bot",,,,,,,2.4791029718262774,-142.28396699716035,-2.98702102654686,-2.7196903312486738,33.261391984597765,-10.727134969725128,3.46,1.61,,,,"96.7",2507,"5.7",716420,641680,663993,543760,673962,608369,694497,665750,666969,"54.76",,0,"0",1,0,0,,71,5,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",196,"-0.004","-0.183","67.9","6.3","1.443379056",,"0.183",,-5,-5,0.005,0.005,29,34,30,35,1,3,3,2,1,3,"0.84","0.16","-0.16","46.2",3.1299888475505107,6.621177923693465,10.502319212229287,38.505674610402096,25.21058830562761
"FF","2023-09-27","98.4","-1.4","5.94","Leclerc, José",519058,600917,,"foul",,,,,4,,"R","L","R","LAA","TEX","S",,,1,2,2023,"-0.31","1.57",-0.3217600692406332,2.46085160790523,,,687263,1,9,"Bot",,,,,,,3.6095803513122253,-143.1162147151006,-7.509750546952128,-5.1304433461390575,34.304026215388625,-9.090341212902858,3.46,1.61,162,"68",63,"97.3",2597,"5.8",716420,641680,663993,543760,673962,608369,694497,665750,666969,"54.74",,,,,,,,71,4,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",203,"0","0","72.7","7.2",,,"0","88.0",-5,-5,0.005,0.005,29,34,30,35,1,3,3,2,1,3,"0.8","0.31","-0.31","37.6",1.6162984661693576,7.895186688328856,28.30362741685781,38.336096237624886,23.66766062354897
"CH","2023-09-27","90.2","-1.23","5.83","Leclerc, José",519058,600917,,"foul",,,,,13,,"R","L","R","LAA","TEX","S",,,1,1,2023,"-0.87","1.24",-0.8956582602233277,2.496084545360687,,,687263,1,9,"Bot",,,,,,,2.6326873255455183,-131.24528977075164,-4.895533305296053,-10.59827350827611,28.21227769229371,-17.023674313094663,3.46,1.61,124,"61.6",21,"89.1",2017,"5.6",716420,641680,663993,543760,673962,608369,694497,665750,666969,"54.88",,,,,,,,71,3,"Changeup",0,5,0,5,5,0,0,5,"Infield shade","Standard",202,"-0.002","-0.055","68.7","8.1",,,"0.055","88.0",-5,-5,0.007,0.007,29,34,30,35,1,3,3,2,1,3,"1.57","0.87","-0.87","41.7",7.1696841222722405,-22.88096102380902,26.063937604180943,46.75064148188663,40.69316888556399
"CH","2023-09-27","89.4","-1.42","5.82","Leclerc, José",519058,600917,,"swinging_strike",,,,,8,,"R","L","R","LAA","TEX","S",,,1,0,2023,"-0.82","1.09",-0.05006269975544897,2.004281981794705,,,687263,1,9,"Bot",,,,,,,5.032691397281081,-130.07270915809747,-5.653353399732579,-10.386608270326152,26.348164616835852,-18.785648603400684,3.46,1.61,,,,"88.4",1957,"5.6",716420,641680,663993,543760,673962,608369,694497,665750,666969,"54.92",,,,,,,,71,2,"Changeup",0,5,0,5,5,0,0,5,"Infield shade","Standard",203,"-0.001","-0.053",,,,,"0.053",,-5,-5,0.008,0.008,29,34,30,35,1,3,3,2,1,3,"1.75","0.82","-0.82","41.2",,,,,
"FC","2023-09-27","92.5","-1.21","6.09","Leclerc, José",519058,600917,,"ball",,,,,12,,"R","L","R","LAA","TEX","B",,,0,0,2023,"0.38","0.65",0.8776162302481476,2.7825984084401796,,,687263,1,9,"Bot",,,,,,,4.412622400227376,-134.66171663884307,-3.990762765386138,3.6653345900091625,29.18530195889995,-23.660548691235313,3.4872420480615,1.65344880058691,,,,"91.1",2636,"5.4",716420,641680,663993,543760,673962,608369,694497,665750,666969,"55.1",,,,,,,,71,1,"Cutter",0,5,0,5,5,0,0,5,"Infield shade","Standard",153,"0.001","0.036",,,,,"-0.036",,-5,-5,0.007,0.007,29,34,30,35,1,3,3,2,1,3,"2.02","-0.38","0.38","42.2",,,,,
"FF","2023-09-27","98.8","-0.9","6.02","Leclerc, José",592273,600917,"strikeout","swinging_strike",,,,,3,"Brandon Drury strikes out swinging.","R","R","R","LAA","TEX","S",2,,0,2,2023,"-0.23","1.53",0.3145067045391982,3.315128539516696,,,687263,0,9,"Bot",,,,,,,3.793039256460772,-143.81629673702625,-5.435370887959511,-4.088567879454458,35.19194717949947,-9.885493805141678,3.57,1.74,,,,"97.7",2574,"5.8",716420,641680,663993,543760,673962,608369,694497,665750,666969,"54.73",,0,"0",1,0,0,,70,4,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Strategic","Standard",207,"-0.007","-0.156","71.5","6.9","0.472940844",,"0.156",,-5,-5,0.014,0.014,29,30,30,31,1,3,3,1,1,2,"0.81","0.23","0.23","44.2",7.3094917927921434,8.147294762707459,25.59131741975807,36.750192855438215,22.41593155301539
"FC","2023-09-27","94.1","-1.24","5.89","Leclerc, José",592273,600917,,"foul",,,,,2,,"R","R","R","LAA","TEX","S",,,0,2,2023,"0.4","0.76",0.23510027318558824,3.01952601936327,,,687263,0,9,"Bot",,,,,,,2.892214249919815,-137.0707877644056,-3.4575371389798613,4.560691736799559,27.33471982185163,-22.01385329085964,3.57,1.74,4,"89.8",-37,"93.2",2672,"5.5",716420,641680,663993,543760,673962,608369,694497,665750,666969,"55.01",,,,,,,,70,3,"Cutter",0,5,0,5,5,0,0,5,"Strategic","Standard",207,"0","0","71.9","7.4",,,"0","89.8",-5,-5,0.014,0.014,29,30,30,31,1,3,3,1,1,2,"1.79","-0.4","-0.4","42.2",12.501907659506601,-9.31865948094232,23.60198273370213,34.22070228198673,37.02925514983527
"SL","2023-09-27","84.6","-1.66","5.71","Leclerc, José",592273,600917,,"swinging_strike",,,,,14,,"R","R","R","LAA","TEX","S",,,0,1,2023,"0.76","0.27",2.0665154775513748,1.4673070136956028,,,687263,0,9,"Bot",,,,,,,7.102131855208521,-123.0972820353169,-4.059990900587427,6.347324969054055,24.321598063940197,-28.833947351115025,3.57,1.74,,,,"83.8",2627,"5.7",716420,641680,663993,543760,673962,608369,694497,665750,666969,"54.76",,,,,,,,70,2,"Slider",0,5,0,5,5,0,0,5,"Strategic","Standard",95,"-0.003","-0.043",,,,,"0.043",,-5,-5,0.017,0.017,29,30,30,31,1,3,3,1,1,2,"2.92","-0.76","-0.76","37.2",,,,,
"SL","2023-09-27","84.9","-1.77","5.72","Leclerc, José",592273,600917,,"called_strike",,,,,9,,"R","R","R","LAA","TEX","S",,,0,0,2023,"0.55","0.52",0.2781074737929323,2.346747456737101,,,687263,0,9,"Bot",,,,,,,3.6522151362440454,-123.75233192711312,-2.6373542844954208,4.990007815417942,23.330899531556483,-26.556305294679984,3.64967025643548,1.81526365918918,,,,"84",2505,"5.5",716420,641680,663993,543760,673962,608369,694497,665750,666969,"55.01",,,,,,,,70,1,"Slider",0,5,0,5,5,0,0,5,"Standard","Standard",107,"-0.002","-0.036",,,,,"0.036",,-5,-5,0.019,0.019,29,30,30,31,1,3,3,1,1,2,"2.62","-0.55","-0.55","33.5",,,,,
