"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CU","2023-09-28","80.9","1.49","6.74","Montgomery, Jordan",664238,656756,"strikeout","swinging_strike",,,,,13,"Dylan Moore strikes out swinging.","R","R","L","SEA","TEX","S",2,,2,2,2023,"-0.21","-0.69",-0.23406523413734248,1.3184498796968924,,553993,,2,6,"Bot",,,,,,,-3.4537751915450583,-117.86821584594641,-4.213823056295972,-1.3338748152843414,20.489226352588734,-38.070595131182486,3.42,1.58,,,,"81.4",2388,"6.4",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.12",,0,"0",1,0,0,,45,5,"Curveball",1,2,1,2,2,1,1,2,"Standard","Standard",314,"-0.051","-0.218","61.9","7.0","2.091075144",,"0.218",,-1,-1,0.359,0.359,30,30,31,31,3,2,5,1,5,2,"4.14","-0.21","0.21","50.0",9.561213042215662,-2.677631423441511,38.2554156467245,33.720938215294055,32.39839189148334
"FF","2023-09-28","92.6","1.64","6.71","Montgomery, Jordan",664238,656756,,"swinging_strike",,,,,11,,"R","R","L","SEA","TEX","S",,,2,1,2023,"0.39","1.21",-0.8653481996541151,3.273692424307291,,553993,,2,6,"Bot",,,,,,,-7.26717412639302,-134.73360838350789,-5.7251978604356575,6.101354469147306,24.711900164276994,-16.41220673202696,3.42,1.58,,,,"93.7",2183,"6.6",716397,641680,663993,543760,673962,608369,694497,665750,666969,"53.92",,,,,,,,45,4,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",147,"-0.011","-0.069","72.5","6.5","0.370741092",,"0.069",,-1,-1,0.37,0.37,30,30,31,31,3,2,5,1,5,2,"1.42","0.39","-0.39","46.8",7.475964887822162,-4.757262223379486,32.74055257233729,27.063876130689664,23.634978480370023
"CH","2023-09-28","82.9","1.5","6.71","Montgomery, Jordan",664238,656756,,"called_strike",,,,,14,,"R","R","L","SEA","TEX","S",,,2,0,2023,"0.43","1.14",0.873461309927405,2.325707025095602,,553993,,2,6,"Bot",,,,,,,-2.2725964369750047,-120.65680768942939,-5.821097025560018,4.592810155084853,22.103055211325547,-20.11312345002503,3.48156476109795,1.63769525992301,,,,"83.4",1530,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.02",,,,,,,,45,3,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",135,"-0.003","-0.055",,,,,"0.055",,-1,-1,0.373,0.373,30,30,31,31,3,2,5,1,5,2,"2.16","0.43","-0.43","49.6",,,,,
"CU","2023-09-28","80.3","1.64","6.79","Montgomery, Jordan",664238,656756,,"blocked_ball",,,,,14,,"R","R","L","SEA","TEX","B",,,1,0,2023,"-0.27","-0.46",0.28497125379911237,0.670259853333377,,553993,,2,6,"Bot",,,,,,,-2.4796216473070998,-116.92352609326579,-5.996248116589277,-2.008540751654862,22.046397632152164,-35.49416535522728,3.40076581870986,1.57411779806314,,,,"80.3",2377,"6.2",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.27",,,,,,,,45,2,"Curveball",1,2,1,2,2,1,1,2,"Standard","Standard",322,"0.003","0.029",,,,,"-0.029",,-1,-1,0.37,0.37,30,30,31,31,3,2,5,1,5,2,"3.99","-0.27","0.27","52.0",,,,,
"CH","2023-09-28","83.8","1.49","6.69","Montgomery, Jordan",664238,656756,,"ball",,,,,14,,"R","R","L","SEA","TEX","B",,,0,0,2023,"0.63","1.29",1.113848327722606,2.434589239289208,,553993,,2,6,"Bot",,,,,,,-2.134350371997239,-122.00813717399222,-6.01103835912572,6.72060612507093,22.946208502670505,-18.330930528017653,3.45825188572298,1.57411779806314,,,,"84.3",1589,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.01",,,,,,,,45,1,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",134,"0.002","0.02",,,,,"-0.02",,-1,-1,0.368,0.368,30,30,31,31,3,2,5,1,5,2,"1.94","0.63","-0.63","48.5",,,,,
"FF","2023-09-28","93.6","1.56","6.74","Montgomery, Jordan",663728,656756,"field_out","hit_into_play",,,,,7,"Cal Raleigh flies out to left fielder Evan Carter.","R","R","L","SEA","TEX","X",7,"fly_ball",2,2,2023,"0.5","1.42",-0.816555040408383,1.954965078141567,,553993,,1,6,"Bot",66.68,70.43,,,,,-7.24403328525122,-135.93569949074572,-9.758420980435824,7.6832053223714105,28.25978000288956,-12.635126544358643,3.48,1.66,349,"91.9",29,"94",2215,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.01",0.076,0.111,"0",1,0,0,3,44,5,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",143,"-0.054","-0.238","71.5","7.6",,0.211,"0.238","91.9",-1,-1,0.422,0.422,30,26,31,27,3,2,5,1,5,1,"1.18","0.5","-0.5","47.2",13.850564394036336,-11.583346091031329,41.201239096359735,26.6936229766388,33.44641027128549
"CH","2023-09-28","83.2","1.44","6.73","Montgomery, Jordan",663728,656756,,"foul",,,,,12,,"R","R","L","SEA","TEX","S",,,2,1,2023,"0.69","1.15",1.2026813945615134,2.6464307003469902,,553993,,1,6,"Bot",,,,,,,-1.9130075052184528,-121.12750185939052,-5.2389866171224995,7.190083691404949,21.874751005668962,-20.01105023084167,3.48,1.66,170,"66.9",22,"83.8",1603,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"53.99",,,,,,,,44,4,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",135,"-0.013","-0.09","71.9","7.2",,,"0.09","88.0",-1,-1,0.435,0.435,30,26,31,27,3,2,5,1,5,1,"2.12","0.69","-0.69","48.3",-0.3661544318179286,24.088367431376145,21.97819763676955,51.02506152241739,18.104697048333723
"FF","2023-09-28","92.2","1.72","6.72","Montgomery, Jordan",663728,656756,,"ball",,,,,12,,"R","R","L","SEA","TEX","B",,,1,1,2023,"0.35","1.38",0.37776629554979446,4.584440880042309,,553993,,1,6,"Bot",,,,,,,-4.187680988929137,-134.3110717030795,-2.6596270149749186,5.161809713502518,27.02591509584185,-15.010846610434543,3.46086486346439,1.70179086459614,,,,"92.7",2225,"6.4",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.11",,,,,,,,44,3,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",152,"0.006","0.052",,,,,"-0.052",,-1,-1,0.429,0.429,30,26,31,27,3,2,5,1,5,1,"1.28","0.35","-0.35","46.1",,,,,
"FF","2023-09-28","92.2","1.66","6.74","Montgomery, Jordan",663728,656756,,"ball",,,,,11,,"R","R","L","SEA","TEX","B",,,0,1,2023,"0.24","1.45",-0.11205621319436188,4.754567308647811,,553993,,1,6,"Bot",,,,,,,-5.051293669614755,-134.1937954978568,-2.400650228112523,4.007711476668318,27.758087042133052,-14.313058617486549,3.35211376429006,1.61667781521513,,,,"92.6",2309,"6.4",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.07",,,,,,,,44,2,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",150,"0.007","0.024",,,,,"-0.024",,-1,-1,0.422,0.422,30,26,31,27,3,2,5,1,5,1,"1.22","0.24","-0.24","45.6",,,,,
"FF","2023-09-28","91.9","1.69","6.71","Montgomery, Jordan",663728,656756,,"swinging_strike",,,,,11,,"R","R","L","SEA","TEX","S",,,0,0,2023,"0.28","1.17",-0.25110468549076465,4.263514493345997,,553993,,1,6,"Bot",,,,,,,-5.537471725879667,-133.73090505195663,-2.918745109127138,4.519242382830332,27.69642911874496,-17.670354801642354,3.48,1.66,,,,"92.4",2270,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.03",,,,,,,,44,1,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",154,"-0.01","-0.038","38.8","5.1","0.308289756",,"0.038",,-1,-1,0.432,0.432,30,26,31,27,3,2,5,1,5,1,"1.52","0.28","-0.28","47.4",6.124079156933002,43.70870907056007,21.9845520508587,33.173891639477695,9.722169556508014
