"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2023-10-01","92.5","1.39","5.47","Pérez, Martín",668942,527048,"field_out","hit_into_play",,,,,12,"Josh Rojas grounds out to first baseman Nathaniel Lowe.","R","L","L","SEA","TEX","X",3,"ground_ball",1,2,2023,"1.37","0.54",1.2069603943377414,2.9326182322606265,672284,664034,645801,2,4,"Bot",125.85,193.38,,,,,-3.4576218487477997,-134.76159631027934,-1.873758238251194,17.52597112063796,28.110808005624012,-25.406797921608984,3.52,1.67,4,"65.2",-35,"92.4",1890,"6.1",716360,641680,663993,543760,673962,608369,694497,665750,666969,"54.43",0.068,0.065,"0",1,0,0,2,32,4,"Sinker",1,0,1,0,0,1,1,0,"Strategic","Standard",135,"-0.048","-0.175","64.8","6.1",,0.068,"0.175","88.0",1,1,0.686,0.686,32,29,32,29,1,1,7,1,17,,"2.11","1.37","1.37","37.9",6.8598968360689705,-0.1909492360961023,31.39336498548231,25.226879173592508,20.69473784560218
"SI","2023-10-01","92.4","1.31","5.47","Pérez, Martín",668942,527048,,"swinging_strike",,,,,6,,"R","L","L","SEA","TEX","S",,,1,1,2023,"1.51","0.83",0.5970008416240058,2.4765370578820685,672284,664034,645801,2,4,"Bot",,,,,,,-5.082928283139004,-134.45916552411546,-3.6138141699838666,19.410599947284563,29.715140125426473,-21.46691871832023,3.52,1.67,,,,"91.9",1902,"6",716360,641680,663993,543760,673962,608369,694497,665750,666969,"54.46",,,,,,,,32,3,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",135,"-0.017","-0.079","62.7","5.7","0.637050912",,"0.079",,1,1,0.703,0.703,32,29,32,29,1,1,7,1,17,,"1.84","1.51","1.51","42.1",-5.24718478591701,25.782135831441042,36.29427668636717,31.752084416317903,9.240893257549635
"CU","2023-10-01","79.5","1.52","5.66","Pérez, Martín",668942,527048,,"ball",,,,,3,,"R","L","L","SEA","TEX","B",,,0,1,2023,"-0.57","-0.39",0.697848364023101,3.3993121751603304,672284,664034,645801,2,4,"Bot",,,,,,,-0.7401913604433967,-115.85089726627515,2.4521918112851395,-4.971494762472907,20.84645443103987,-36.30974415248339,3.48485437248153,1.67859478117278,,,,"79",2274,"5.8",716360,641680,663993,543760,673962,608369,694497,665750,666969,"54.71",,,,,,,,32,2,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",296,"0.007","0.034",,,,,"-0.034",,1,1,0.696,0.696,32,29,32,29,1,1,7,1,17,,"3.97","-0.57","-0.57","44.9",,,,,
"CU","2023-10-01","79.9","1.5","5.66","Pérez, Martín",668942,527048,,"swinging_strike",,,,,13,,"R","L","L","SEA","TEX","S",,,0,0,2023,"-0.29","-0.64",-0.5690685850279772,1.0975307324646777,672284,664034,645801,2,4,"Bot",,,,,,,-3.9953509067216504,-116.3649855116307,-2.1471230938165586,-1.9006139798872528,20.854345794654517,-37.85461715888639,3.52,1.67,,,,"79.7",2409,"6",716360,641680,663993,543760,673962,608369,694497,665750,666969,"54.47",,,,,,,,32,1,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",295,"-0.01","-0.047","54.8","8.3","8.50774344",,"0.047",,1,1,0.706,0.706,32,29,32,29,1,1,7,1,17,,"4.19","-0.29","-0.29","44.9",22.152148223682346,-21.008863543158377,37.81055537780113,45.860498791375015,39.25068443958521
"SI","2023-10-01","92.2","1.36","5.54","Pérez, Martín",645801,527048,"hit_by_pitch","hit_by_pitch",,,,,12,"Mike Ford hit by pitch.","R","L","L","SEA","TEX","B",,,0,0,2023,"1.4","0.5",1.384235745501195,3.5477997673818304,672284,664034,,2,4,"Bot",,,,,,,-2.9334073023784835,-134.27925879872282,-0.36366723723184147,17.5505676174157,27.86293940049227,-26.22779426344081,3.34,1.58,,,,"91.7",1889,"5.8",716360,641680,663993,543760,673962,608369,694497,665750,666969,"54.68",,0.726005,"0.7",1,0,0,,31,1,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",136,"0.013","0.123",,,,,"-0.123",,1,1,0.693,0.693,32,30,32,31,1,1,7,2,17,,"2.17","1.4","1.4","40.7",,,,,
"SI","2023-10-01","92.3","1.47","5.52","Pérez, Martín",686527,527048,"field_out","hit_into_play",,,,,12,"Dominic Canzone grounds out softly to first baseman Nathaniel Lowe. Eugenio Suarez scores. Jarred Kelenic to 3rd. Ty France to 2nd.","R","L","L","SEA","TEX","X",3,"ground_ball",0,1,2023,"1.44","0.52",1.3132644367273083,2.8478376898479203,553993,672284,664034,1,4,"Bot",152.17,177.52,,,,,-3.5237953628012413,-134.4435808509266,-2.133278537951894,18.282572294776845,28.960685732566283,-25.5647286265402,3.12,1.36,3,"51.8",-45,"92",1830,"6",716360,641680,663993,543760,673962,608369,694497,665750,666969,"54.49",0.17,0.16,"0",1,0,0,1,30,2,"Sinker",0,0,0,0,0,1,1,0,"Standard","Standard",125,"0.03","-0.244","64.3","6.3",,0.17,"0.244","88.0",0,0,0.663,0.663,32,25,32,26,1,1,7,5,17,,"2.14","1.44","1.44","37.9",10.587656735566185,12.80366941640318,37.58445230159461,23.558499289857853,26.50332445574448
"CU","2023-10-01","80.2","1.47","5.72","Pérez, Martín",686527,527048,,"called_strike",,,,,7,,"R","L","L","SEA","TEX","S",,,0,0,2023,"-0.57","-0.24",-0.3162692003031183,1.6815342317905282,553993,672284,664034,1,4,"Bot",,,,,,,-2.8527321051818313,-116.81276443312692,-1.826502451198892,-4.7173761175966895,20.388416025661765,-34.30382023959619,3.46291285529878,1.64794753207338,,,,"79.7",2467,"5.7",716360,641680,663993,543760,673962,608369,694497,665750,666969,"54.76",,,,,,,,30,1,"Curveball",0,0,0,0,0,0,0,0,"Standard","Standard",299,"-0.013","-0.05",,,,,"0.05",,0,0,0.676,0.676,32,25,32,26,1,1,7,5,17,,"3.76","-0.57","-0.57","44.6",,,,,
"SI","2023-09-24","92.9","1.26","5.5","Pérez, Martín",663728,527048,"walk","ball",,,,,11,"Cal Raleigh walks. Julio Rodriguez to 2nd.","R","R","L","TEX","SEA","B",,,3,2,2023,"1.46","0.58",-0.4150515303850202,3.9909857173299605,,,677594,2,7,"Top",,,,,,,-7.431581659235392,-135.16675948994123,0.627277153439198,19.45482880986001,28.429995659350546,-25.365403419541547,3.34538288969547,1.6524152047312,,,,"92.5",1896,"6",716446,641680,663993,543760,673962,608369,694497,665750,666969,"54.52",,0.695903,"0.7",1,0,0,,58,6,"Sinker",9,5,5,9,5,9,5,9,"Standard","Standard",131,"-0.013","0.258",,,,,"-0.258",,4,-4,0.957,0.04300000000000004,32,26,32,27,1,3,4,1,7,1,"2.05","1.46","-1.46","42.5",,,,,
"CH","2023-09-24","83.8","1.27","5.59","Pérez, Martín",663728,527048,,"blocked_ball",,,,,13,,"R","R","L","TEX","SEA","B",,,2,2,2023,"1.21","0.77",-0.851083833985449,0.5332528527646665,,,677594,2,7,"Top",,,,,,,-7.248817745743896,-121.68753798326544,-6.746103896717189,13.444487831312243,23.898203042375687,-23.348194413358843,3.39883852916115,1.6524152047312,,,,"83.3",1682,"6.1",716446,641680,663993,543760,673962,608369,694497,665750,666969,"54.45",,,,,,,,58,5,"Changeup",9,5,5,9,5,9,5,9,"Standard","Standard",126,"-0.004","0.065",,,,,"-0.065",,4,-4,0.961,0.039000000000000035,32,26,32,27,1,3,4,1,7,1,"2.49","1.21","-1.21","45.1",,,,,
"CH","2023-09-24","84.4","1.42","5.41","Pérez, Martín",663728,527048,,"ball",,,,,14,,"R","R","L","TEX","SEA","B",,,1,2,2023,"1.21","0.62",1.6371124629047045,2.154422595054664,,,677594,2,7,"Top",,,,,,,-1.8991366468015645,-122.97256176368106,-2.452956844613901,12.663446253843915,24.263256658100783,-25.60308548693383,3.31865776254383,1.59910758053563,,,,"84.3",1619,"6.1",716446,641680,663993,543760,673962,608369,694497,665750,666969,"54.35",,,,,,,,58,4,"Changeup",9,5,5,9,5,9,5,9,"Standard","Standard",119,"-0.002","0.034",,,,,"-0.034",,4,-4,0.963,0.03700000000000003,32,26,32,27,1,3,4,1,7,1,"2.57","1.21","-1.21","40.5",,,,,
