"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2023-06-16","98.9","-1.77","5.22","Doval, Camilo",669257,666808,,"ball",,,,,11,,"R","R","R","LAD","SF","B",,,2,1,2023,"-1.06","0.38",-1.024570072129932,3.183237149488704,,605141,518692,1,9,"Bot",,,,,,,4.545972855512468,-144.12311821209315,-1.0430256812010423,-15.784186466798568,31.889488650171092,-26.887808614810282,3.33079330528199,1.58175630971886,,,,"100.1",2501,"6.7",717731,672275,681584,642731,669477,543063,596103,682641,573262,"53.75",,,,,,,,77,4,"Sinker",5,5,5,5,5,5,5,5,"Standard","Standard",225,"-0.111","0.104",,,,,"-0.104",,0,0,0.723,0.723,25,28,26,28,1,4,2,1,2,1,"1.94","1.06","1.06","16.7",,,,,
"FF","2023-07-02","98.2","-2.21","5.99","Cole, Gerrit",502671,543037,,"called_strike",,,,,4,,"R","R","R","STL","NYY","S",,,0,0,2023,"-0.86","1.35",-0.8280406195517122,2.422016428693268,,680977,663457,0,1,"Bot",,,,,,,5.721182258739818,-142.7045080213508,-7.29893604042166,-13.072600546149053,33.19259018644323,-12.184747862053547,3.34574168717437,1.62817970841486,,,,"98.2",2386,"6.4",717524,624431,641343,650402,518934,683011,665828,664056,643396,"54.11",,,,,,,,6,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",212,"-0.074","-0.048",,,,,"0.048",,0,0,0.636,0.636,32,35,33,36,1,0,7,1,6,1,"1.02","0.86","0.86","43.4",,,,,
"SI","2023-06-08","97.4","-2.1","5.15","García, Yimi",676694,554340,,"ball",,,,,8,,"R","R","R","TOR","HOU","B",,,0,1,2023,"-1.62","0.77",-0.06247817203723449,1.7004133983248124,,547989,676801,0,7,"Top",,,,,,,9.124702506723137,-141.53186359141813,-5.437345213716774,-23.9289807596555,33.48782863595898,-20.794336113668816,3.42110544954737,1.61359572784627,,,,"96.6",2394,"6",717843,672386,665489,669289,656305,666182,593160,662139,543807,"54.53",,,,,,,,55,2,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",226,"0.156","0.034",,,,,"-0.034",,1,-1,0.533,0.46699999999999997,32,27,33,27,1,2,3,2,1,1,"1.65","1.62","1.62","26.8",,,,,
"FF","2023-09-09","97.3","-2.57","5.4","Palencia, Daniel",666971,694037,"truncated_pa","called_strike",,,,,7,,"R","R","R","CHC","AZ","S",2,,3,1,2023,"-0.83","1.36",-0.34519529523821735,2.0815497878184313,,502054,,2,10,"Top",,,,,,,7.944514568178979,-141.26739264894042,-6.516573963603794,-12.940133805893705,34.36620627290379,-12.620522980571433,3.43201524466658,1.61225918242763,,,,"97.9",2309,"6.9",716660,543228,641355,663538,663611,621020,664023,643565,673548,"53.57",,,"0",0,0,0,,78,5,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard",218,"0.031","-0.359",,,,,"0.359",,-2,2,0.18,0.8200000000000001,23,29,23,30,1,4,3,1,3,1,"1.07","0.83","0.83","32.7",,,,,
"FF","2023-06-16","96.7","-1.73","5.82","Megill, Tylor",669242,656731,,"ball",,,,,11,,"R","L","R","NYM","STL","B",,,0,2,2023,"-0.39","1.21",-1.6857491338457855,3.8943162885339833,,691023,666185,1,5,"Top",,,,,,,1.0315955762140963,-140.86826840595398,-2.419298230388261,-5.408216063691033,31.436324491309385,-15.65100472513742,3.12125829360821,1.42264003607182,,,,"98.7",2208,"7.3",717743,553882,592192,643446,683146,596019,502054,607043,516782,"53.18",,,,,,,,37,3,"4-Seam Fastball",5,1,1,5,1,5,1,5,"Infield shade","Standard",211,"0.044","0.022",,,,,"-0.022",,4,-4,0.876,0.124,27,28,28,28,2,1,7,2,5,1,"1.21","0.39","-0.39","36.1",,,,,
"FF","2023-09-02","96.5","4.03","5.61","Diekman, Jake",686823,518617,"truncated_pa","ball",,,,,12,,"R","L","L","CLE","TB","B",2,,2,2,2023,"1.31","1.15",0.13086944647817678,4.361982223045742,,665926,,2,5,"Bot",,,,,,,-13.282520565374172,-139.83529576585605,-0.2931139353216555,20.206387476823355,32.726137330586056,-17.304352100763612,3.19912021911506,1.45532527326068,,,,"95.9",2361,"6.3",716754,542194,650490,664040,670623,670764,668227,642350,670042,"54.25",,,"0",0,0,0,,45,5,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",112,"-0.04","-0.22",,,,,"0.22",,0,0,0.54,0.54,36,25,36,25,1,2,4,1,2,1,"1.33","1.31","1.31","22.8",,,,,
"FF","2023-06-06","95.8","-1.16","5.07","Montero, Rafael",662139,606160,,"ball",,,,,11,,"R","L","R","TOR","HOU","B",,,0,0,2023,"-1.03","1.36",-0.021173656737207502,3.4926195171775927,,593160,,1,8,"Bot",,,,,,,5.363361733199447,-139.35497463049134,-1.5637719896573676,-14.693346668958496,35.656036510107306,-14.446109764182015,3.04179484304996,1.35312191310814,,,,"95.7",2407,"6.5",717871,455117,547989,643289,608324,665161,667452,676694,663656,"53.95",,,,,,,,61,1,"4-Seam Fastball",5,1,5,1,1,5,5,1,"Standard","Standard",221,"-0.003","0.034",,,,,"-0.034",,4,4,0.989,0.989,32,26,33,27,1,3,3,1,2,1,"1.15","1.03","-1.03","41.1",,,,,
"FF","2023-05-10","95.7","-2.29","5.36","López, Pablo",572761,641154,,"ball",,,,,14,,"R","L","R","MIN","SD","B",,,0,0,2023,"-0.6","1.38",0.2513024669039877,1.5823753051789202,,665742,,1,2,"Top",,,,,,,8.186678937005333,-139.05222352289456,-7.582487606608536,-9.673498896691326,30.919605884086888,-12.69232535667203,3.74036985145921,1.79428945525751,,,,"97.1",2352,"7.1",718224,543877,666135,593871,571657,621043,608336,572191,596146,"53.36",,,,,,,,10,1,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shade","Standard",218,"0.061","0.034",,,,,"-0.034",,1,-1,0.583,0.41700000000000004,27,37,27,38,1,0,6,1,5,1,"1.11","0.6","-0.6","30.2",,,,,
"SI","2023-04-23","95.4","-1.67","5.87","Ureña, José",665019,570632,"truncated_pa","swinging_strike",,,,,7,,"R","L","R","PHI","COL","S",2,,0,1,2023,"-1.52","0.61",-0.31043702668502116,1.567771410763091,,592663,,2,2,"Bot",,,,,,,6.969019245677231,-138.62779299058445,-6.9749807460933395,-21.117936298265462,33.9299491931705,-22.906217487985604,3.39,1.68,,,,"94.8",2250,"6.2",718458,661531,543068,605612,641857,678662,595777,602074,453568,"54.28",,,"0",0,0,0,,15,2,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",219,"-0.025","-0.249",,,,,"0.249",,1,1,0.637,0.637,31,27,32,27,1,0,5,5,139,4,"1.93","1.52","-1.52","33.6",,,,,
"SI","2023-06-19","95.3","-3.62","5.27","Walker, Ryan",665742,676254,,"ball",,,,,11,,"R","L","R","SF","SD","B",,,0,0,2023,"-1.39","0.02",-1.5011427990457002,3.0721062872984333,,665487,,0,1,"Top",,,,,,,8.712905571880155,-138.63070619042944,-0.21422295727712137,-19.81407689120002,28.330322046069007,-32.10260969089189,3.32760011287632,1.58433702544701,,,,"95.8",2342,"6.4",717697,672275,664774,642731,681584,543063,624424,682641,573262,"54.08",,,,,,,,2,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",240,"0.079","0.036",,,,,"-0.036",,0,0,0.441,0.5589999999999999,27,24,28,25,1,0,3,1,2,1,"2.48","1.39","-1.39","17.7",,,,,
