"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2023-04-29","102.8","-2.16","6.27","Duran, Jhoan",686681,661395,,"ball",,,,,12,,"R","L","R","MIN","KC","B",,,2,2,2023,"-1.05","1.3",0.11148557257736535,4.548909567742747,,,658668,0,9,"Top",,,,,,,9.005820611707682,-149.34522617621448,-2.7520304682693166,-17.926394002850994,38.60474291135419,-12.32623128304357,3.54151675996468,1.68288604110673,,,,"102.8",2064,"6.5",718378,680777,608336,593871,669304,621043,663616,572191,596146,"53.96",,,,,,,,72,5,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shade","Standard",222,"-0.102","0.088",,,,,"-0.088",,0,0,0.431,0.569,25,25,25,25,1,3,2,1,1,3,"0.88","1.05","-1.05","40.1",,,,,
"FC","2023-08-12","102.8","-0.52","5.95","Clase, Emmanuel",668227,661403,,"swinging_strike",,,,,14,,"R","R","R","TB","CLE","S",,,0,1,2023,"0.14","0.85",0.4421861152639575,0.9899599224475242,,,664040,2,9,"Bot",,,,,,,2.413507906221409,-149.39208904190852,-11.024901844218485,1.5888513109935698,33.98634076078612,-17.08789931884487,3.32,1.51,,,,"104.2",2675,"7",717024,595956,594777,665926,672356,677587,680757,664702,657656,"53.52",,,,,,,,81,2,"Cutter",5,5,5,5,5,5,5,5,"Standard","Standard",179,"0.012","-0.055",,,,,"0.055",,0,0,0.554,0.554,25,28,25,28,1,4,2,1,3,1,"1.3","-0.14","-0.14","50.9",,,,,
"SI","2023-04-18","101.9","0.03","6.93","Bautista, Félix",660688,642585,,"blocked_ball",,,,,14,,"R","L","R","WSH","BAL","B",,,1,0,2023,"-0.58","1.73",1.162147173087699,1.389275435885953,,,669743,2,9,"Bot",,,,,,,4.584603297315358,-147.50083846952907,-14.371055209701456,-9.666844488626097,41.00921377971612,-3.4350267123726823,3.34655674214947,1.59242460142756,,,,"101.5",2519,"6.7",718531,668939,656811,624428,683002,622761,669720,656775,663630,"53.77",,,,,,,,67,2,"Sinker",0,1,0,1,1,0,0,1,"Infield shade","Standard",194,"0.049","0.037",,,,,"-0.037",,-1,-1,0.107,0.107,28,24,28,25,1,3,2,2,3,1,"0.52","0.58","-0.58","62.8",,,,,
"SI","2023-04-21","101.9","-0.57","6.91","Bautista, Félix",681481,642585,,"ball",,,,,13,,"R","L","R","BAL","DET","B",,,0,0,2023,"-0.98","1.43",-0.005152514280428622,0.9370844624055551,,,595879,2,9,"Top",,,,,,,3.950263946937011,-147.66791124142327,-15.017161858158802,-15.279601393498067,33.61972679418752,-7.866093568516368,3.06479838785622,1.40276864210981,,,,"102.6",2430,"6.8",718495,668939,663624,624428,602104,683002,669720,656775,663630,"53.73",,,,,,,,59,1,"Sinker",1,1,1,1,1,1,1,1,"Standard","Standard",195,"-0.042","0.03",,,,,"-0.03",,0,0,0.574,0.42600000000000005,28,25,28,26,1,3,3,2,2,1,"0.77","0.98","-0.98","59.9",,,,,
"FF","2023-05-04","101.6","-1.88","6.29","Duran, Jhoan",650391,661395,,"ball",,,,,11,,"R","R","R","CWS","MIN","B",,,0,1,2023,"-1.01","1.17",-1.2610936390666012,3.086582306018653,,,571740,0,8,"Bot",,,,,,,4.1662690709989105,-147.6814552928101,-6.399760727139346,-15.81030334830454,39.05964269579597,-13.777303754566068,3.58716808345129,1.70166693404821,,,,"101.1",2060,"6.3",718310,543877,456781,593871,669304,621043,608336,624503,596146,"54.16",,,,,,,,61,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",221,"0.072","0.024",,,,,"-0.024",,0,0,0.661,0.661,25,26,25,27,1,3,4,1,1,1,"1.07","1.01","1.01","44.6",,,,,
"FF","2023-09-30","101.2","-2.37","4.9","Joyce, Ben",676116,690829,,"ball",,,,,11,,"R","L","R","LAA","ATH","B",,,0,0,2023,"-1.03","0.91",-1.1182587573023073,3.8740917443555585,669397,,665923,0,8,"Top",,,,,,,6.028887445059654,-147.30842664591162,0.2769006287525565,-16.44184953773662,33.91779837825502,-19.195098973784077,3.83478611075517,1.79160970977213,,,,"102.6",2238,"7",716371,681351,694384,664058,519058,687263,545341,666160,666176,"53.55",,,,,,,,52,1,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",238,"-0.054","0.009",,,,,"-0.009",,2,-2,0.656,0.344,22,27,23,27,1,3,3,1,,1,"1.31","1.03","-1.03","17.7",,,,,
"SI","2023-06-25","101.2","-0.14","6.99","Bautista, Félix",606192,642585,,"swinging_strike",,,,,2,,"R","R","R","BAL","SEA","S",,,1,0,2023,"-0.45","1.6",0.04686502858271646,3.2966593877542536,,,664238,2,9,"Top",,,,,,,1.6163534485474838,-147.22472571497946,-8.854183571540373,-6.9685824438610595,34.34721024658454,-7.028255658929056,3.51,1.7,,,,"101.8",2592,"6.6",717627,621532,656811,624428,683002,622761,669720,656775,663630,"53.94",,,,,,,,61,2,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",188,"-0.024","-0.05",,,,,"0.05",,1,-1,0.914,0.08599999999999997,28,30,28,31,1,3,1,1,3,1,"0.62","0.45","0.45","63.5",,,,,
"FC","2023-04-14","100.7","-1.64","5.3","Doval, Camilo",668670,666808,"strikeout","swinging_strike",,,,,6,"Jake Rogers strikes out swinging. Zach McKinstry steals (2) 2nd base.","R","R","R","DET","SF","S",2,,1,2,2023,"-0.53","1.15",0.45518864575629037,2.6277972691420386,668952,,656716,0,11,"Bot",,,,,,,7.105350789498204,-146.55482423681812,-4.855778286659666,-9.232027360238495,33.59324357368625,-14.64351591882531,3.24,1.52,,,,"101.4",2678,"6.6",718585,666165,527038,681584,605204,543063,642731,573262,664774,"53.89",,0,"0",1,0,0,,92,4,"Cutter",4,5,4,5,5,4,4,5,"Strategic","Standard",223,"-0.044","-0.267",,,,,"0.267",,-1,-1,0.592,0.592,25,28,26,28,1,4,3,1,5,4,"1.09","0.53","0.53","23.6",,,,,
"FF","2023-08-19","100.7","-1.61","6.33","Graterol, Brusdar",660821,660813,,"ball",,,,,11,,"R","L","R","LAD","MIA","B",,,2,2,2023,"-0.73","0.95",-0.4044279601941523,4.028896749945787,,665862,541645,2,9,"Top",,,,,,,5.018111676432804,-146.6779368788615,-3.290122908541581,-11.75406196004283,33.90898926149163,-17.83996758740739,3.51041498960741,1.71012872364932,,,,"99.5",2050,"5.5",716926,669257,518692,642708,571771,500743,621035,681546,605141,"54.98",,,,,,,,64,5,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Strategic","Standard",230,"-0.054","0.064",,,,,"-0.064",,2,-2,0.934,0.06599999999999995,24,25,25,26,1,0,3,0,4,2,"1.29","0.73","-0.73","36.5",,,,,
"FF","2023-04-05","100.6","0.61","6.4","McClanahan, Shane",669743,663556,,"ball",,,,,12,,"R","R","L","WSH","TB","B",,,0,2,2023,"0.81","1.46",0.031953054680019854,3.9933697808829725,,,657041,0,1,"Bot",,,,,,,-3.549740061433752,-146.44670107658388,-4.836669718351641,12.519460661643512,35.366247753834855,-10.28680952081385,3.1353979167078,1.5450071719502,,,,"101.4",2214,"6.7",718704,642336,650490,670764,670623,677551,668227,642350,622534,"53.75",,,,,,,,5,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",152,"0.025","0.008",,,,,"-0.008",,0,0,0.57,0.57,26,28,26,29,1,0,6,1,6,1,"0.8","0.81","-0.81","46.6",,,,,
