"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL","2023-09-26","79.7","1.52","6.38","Smith, Will",687263,519293,"field_out","hit_into_play",,,,,8,"Zach Neto lines out to third baseman Josh Jung.","R","R","L","LAA","TEX","X",5,"line_drive",0,1,2023,"-0.58","0.35",-0.2497939783348203,2.0422027723490888,,,545341,2,8,"Bot",88.5,166.41,,,,,-2.8044115174814968,-116.03156544250561,-3.4806951930910097,-4.746595729990957,21.059102061396203,-28.58960455236508,3.5,1.63,126,"79.5",11,"79.8",2278,"6.3",716422,595978,663993,677649,673962,669701,694497,665750,608671,"54.22",0.463,0.421,"0",1,0,0,4,72,2,"Slider",9,1,9,1,1,9,9,1,"Standard","Standard",304,"0","-0.241","67.4","7.4",,0.501,"0.241","88.0",8,8,0.999,0.999,33,22,34,22,1,4,6,1,3,1,"3.23","-0.58","0.58","41.6",22.58440982229236,-12.681575611731683,39.48768167946034,28.992542126377984,42.717556338329665
"CU","2023-09-26","76.6","1.48","6.69","Smith, Will",687263,519293,,"swinging_strike",,,,,13,,"R","R","L","LAA","TEX","S",,,0,0,2023,"-0.81","-0.63",-0.2721957547143784,1.4169888410803955,,,545341,2,8,"Bot",,,,,,,-2.2201908905165895,-111.42641644493196,-2.876128821876655,-6.228003839198623,22.573493790471137,-37.030259033356046,3.5,1.63,,,,"75.7",2155,"6",716422,595978,663993,677649,673962,669701,694497,665750,608671,"54.54",,,,,,,,72,1,"Curveball",9,1,9,1,1,9,9,1,"Standard","Standard",330,"0","-0.045","72.2","8.5","13.381546104",,"0.045",,8,8,0.999,0.999,33,22,34,22,1,4,6,1,3,1,"4.56","-0.81","0.81","49.8",41.28038747140992,-45.81061480821923,45.559339216317596,29.22340498859206,63.164041726977636
"CH","2023-09-20","86.8","1.45","6.48","Smith, Will",657136,519293,"field_out","hit_into_play",,,,,6,"Connor Wong grounds out, shortstop Josh H. Smith to first baseman Nathaniel Lowe.","R","R","L","TEX","BOS","X",6,"ground_ball",0,0,2023,"1.27","1.04",0.7011625360368756,2.4708492919562524,666915,,678882,2,9,"Top",109.79,147.82,,,,,-4.378425343820371,-126.35865767097629,-5.5784602043120195,14.475672715011454,24.86103416969462,-20.0564794128004,3.15,1.38,19,"91.9",-6,"87",1961,"6.3",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.19",0.21,0.189,"0",1,0,0,2,86,1,"Changeup",15,5,5,15,5,15,5,15,"Standard","Standard",143,"0.001","-0.314","73.5","7.6",,0.212,"0.314","91.9",10,-10,0.999,0.0010000000000000009,33,27,34,27,1,1,2,1,6,2,"1.97","1.27","-1.27","44.7",22.920939667124674,-3.0778384141800648,30.742872805146717,41.51105678864178,36.36827946003268
"FF","2023-09-20","90.7","1.44","6.46","Smith, Will",678882,519293,"single","hit_into_play",,,,,1,"Ceddanne Rafaela singles on a line drive to center fielder Leody Taveras. Masataka Yoshida scores. Bobby Dalbec to 3rd.","R","R","L","TEX","BOS","X",8,"line_drive",2,0,2023,"0.17","1.19",-0.43003971707786437,2.8552468101623427,807799,,666915,2,9,"Top",152.08,79.48,,,,,-5.036675217608882,-132.04637830463614,-5.665047234018935,3.042273885251369,27.18925866330673,-17.246444472218354,3.3,1.52,196,"85.3",13,"91",2202,"6.3",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.16",0.839,0.797,"0.9",1,1,0,4,85,3,"4-Seam Fastball",15,4,4,15,5,15,5,15,"Standard","Standard",151,"0","0.51","67.4","6.3",,0.962,"-0.51","88.0",11,-11,0.999,0.0010000000000000009,33,22,34,23,1,4,2,2,6,2,"1.57","0.17","-0.17","42.9",3.4386793132740214,17.284579556208033,33.97716844593397,30.321371618087838,22.626249573454945
"CH","2023-09-20","87","1.4","6.56","Smith, Will",678882,519293,,"blocked_ball",,,,,14,,"R","R","L","TEX","BOS","B",,,1,0,2023,"1.29","1.03",0.6724233290333821,1.0899841883199088,807799,,666915,2,9,"Top",,,,,,,-4.376342557356215,-126.404124374667,-8.980338257816793,14.776004253926287,25.665983379093767,-19.536922307699776,3.32529068330885,1.49202420503861,,,,"86.6",1933,"6.1",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.41",,,,,,,,85,2,"Changeup",15,4,4,15,4,15,4,15,"Standard","Standard",145,"0","0.042",,,,,"-0.042",,11,-11,0.999,0.0010000000000000009,33,22,34,23,1,4,2,2,6,2,"1.99","1.29","-1.29","45.6",,,,,
"CU","2023-09-20","77.5","1.43","6.63","Smith, Will",678882,519293,,"ball",,,,,12,,"R","R","L","TEX","BOS","B",,,0,0,2023,"-0.79","-0.68",1.2276917639807603,2.8888333637535113,807799,,666915,2,9,"Top",,,,,,,1.003459020635871,-112.76191544643726,0.24202418536656678,-6.8872988310977,22.273038090512866,-38.25811742749402,3.32529068330885,1.54532073819406,,,,"76.8",1999,"6",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.52",,,,,,,,85,1,"Curveball",15,4,4,15,4,15,4,15,"Standard","Standard",327,"0","0.042",,,,,"-0.042",,11,-11,0.999,0.0010000000000000009,33,22,34,23,1,4,2,2,6,2,"4.51","-0.79","0.79","47.9",,,,,
"CH","2023-09-20","85.6","1.43","6.5","Smith, Will",622569,519293,"field_out","hit_into_play",,,,,9,"Pablo Reyes flies out to center fielder Leody Taveras. Masataka Yoshida to 3rd.","R","R","L","TEX","BOS","X",8,"fly_ball",2,1,2023,"1.36","0.87",0.7285346519878093,1.9650362284410987,,807799,666915,1,9,"Top",149.23,59.07,,,,,-4.38657783918175,-124.55653444857587,-6.169885071292596,15.03707030046615,24.54482425270904,-22.054421739850007,3.29,1.58,351,"93",23,"85.4",2017,"6.1",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.38",0.145,0.166,"0",1,0,0,3,84,4,"Changeup",15,4,4,15,4,15,4,15,"Standard","Standard",142,"0","-0.268","64.1","7.6",,0.269,"0.268","93.0",11,-11,0.999,0.0010000000000000009,33,29,34,30,1,0,2,2,6,4,"2.23","1.36","-1.36","44.9",4.878652144792475,6.412227439600693,27.438461333312233,44.66239143001788,27.052096208288567
"CU","2023-09-20","76.7","1.35","6.63","Smith, Will",622569,519293,,"ball",,,,,12,,"R","R","L","TEX","BOS","B",,,1,1,2023,"-0.78","-1.01",1.0274767988125404,2.567314976745929,,807799,666915,1,9,"Top",,,,,,,0.7218995977213054,-111.64578679003009,0.3015279539465976,-6.609151672452362,22.013348763505736,-40.86101824680899,3.34201441026795,1.52536738112896,,,,"75.9",2018,"5.9",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.6",,,,,,,,84,3,"Curveball",15,4,4,15,4,15,4,15,"Standard","Standard",325,"0","0.039",,,,,"-0.039",,11,-11,0.999,0.0010000000000000009,33,29,34,30,1,0,2,2,6,4,"4.91","-0.78","0.78","46.4",,,,,
"FF","2023-09-20","92","1.46","6.56","Smith, Will",622569,519293,,"ball",,,,,11,,"R","R","L","TEX","BOS","B",,,0,1,2023,"0.6","1.29",-0.5134381784226149,3.675474554917348,,807799,666915,1,9,"Top",,,,,,,-6.306676885203991,-133.8247972726036,-4.268155946212977,8.575024774482474,28.396390051075507,-15.96248976504993,3.42219630549862,1.5786666005658,,,,"91.9",2293,"6.2",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.26",,,,,,,,84,2,"4-Seam Fastball",15,4,4,15,4,15,4,15,"Standard","Standard",145,"0","0.031",,,,,"-0.031",,11,-11,0.999,0.0010000000000000009,33,29,34,30,1,0,2,2,6,4,"1.4","0.6","-0.6","48.2",,,,,
"FF","2023-09-20","90.7","1.43","6.52","Smith, Will",622569,519293,,"called_strike",,,,,9,,"R","R","L","TEX","BOS","S",,,0,0,2023,"0.54","1.2",0.3928471483820182,1.5865270983172275,,807799,666915,1,9,"Top",,,,,,,-3.742572128943945,-131.81083226374272,-8.95492414263014,7.116541061587999,26.930004950101903,-16.549625558263152,3.42219630549862,1.5520164506248,,,,"90.6",2248,"6.2",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.29",,,,,,,,84,1,"4-Seam Fastball",15,4,4,15,4,15,4,15,"Standard","Standard",147,"0","-0.04",,,,,"0.04",,11,-11,0.999,0.0010000000000000009,33,29,34,30,1,0,2,2,6,4,"1.57","0.54","-0.54","42.3",,,,,
"SL","2023-09-20","80.1","1.57","6.46","Smith, Will",624512,519293,"strikeout","swinging_strike",,,,,7,"Reese McGuire strikes out swinging.","R","L","L","TEX","BOS","S",2,,2,2,2023,"-0.63","-0.21",-0.33182195791191754,2.181841438482192,,807799,666915,0,9,"Top",,,,,,,-2.9916055291505383,-116.6638574463954,-2.393381868921918,-5.256252034870684,20.901677823861917,-33.84767123233817,3.38,1.69,,,,"79.9",2383,"6",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.48",,0,"0",1,0,0,,83,5,"Slider",15,4,4,15,4,15,4,15,"Standard","Standard",304,"0","-0.202","71.0","9.1","2.300335812",,"0.202",,11,-11,0.999,0.0010000000000000009,33,28,34,28,1,3,2,1,6,3,"3.74","-0.63","-0.63","40.6",29.292053517922827,-37.93725736704034,30.655194346660647,40.03983414387354,53.271515425215846
"SL","2023-09-20","81.8","1.67","6.4","Smith, Will",624512,519293,,"blocked_ball",,,,,13,,"R","L","L","TEX","BOS","B",,,1,2,2023,"-0.49","-0.37",-0.8207715035688068,0.30315178460476044,,807799,666915,0,9,"Top",,,,,,,-4.657607851954013,-119.02952149186542,-6.430260028816658,-3.7439093898523197,23.415525583927018,-34.642975811319005,3.32511289653024,1.60869649919741,,,,"81.4",2433,"6.1",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.41",,,,,,,,83,4,"Slider",15,4,4,15,4,15,4,15,"Infield shade","Standard",306,"0","0.034",,,,,"-0.034",,11,-11,0.999,0.0010000000000000009,33,28,34,28,1,3,2,1,6,3,"3.79","-0.49","-0.49","40.5",,,,,
"SL","2023-09-20","80","1.6","6.4","Smith, Will",624512,519293,,"swinging_strike_blocked",,,,,13,,"R","L","L","TEX","BOS","S",,,1,1,2023,"-0.68","-0.11",-1.2392671569689253,0.9787847201925306,,807799,666915,0,9,"Top",,,,,,,-4.94572615278325,-116.48761264321472,-5.069085689480712,-5.361646371854329,20.89494788084251,-32.43485352571195,3.38,1.69,,,,"79.8",2449,"6",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.45",,,,,,,,83,3,"Slider",15,4,4,15,4,15,4,15,"Infield shade","Standard",315,"0","-0.076","46.7","9.1","7.523143188",,"0.076",,11,-11,0.999,0.0010000000000000009,33,28,34,28,1,3,2,1,6,3,"3.65","-0.68","-0.68","39.8",22.545377480447506,-14.943438948939077,40.09200116905675,50.98648724141276,41.107541562264984
"FF","2023-09-20","91","1.23","6.63","Smith, Will",624512,519293,,"called_strike",,,,,7,,"R","L","L","TEX","BOS","S",,,1,0,2023,"0.45","1.23",-0.5692254117891763,2.2898768924914936,,807799,666915,0,9,"Top",,,,,,,-5.428435068061537,-132.32161198398438,-7.587848685429732,6.3556104574491625,26.17738354615753,-16.345894840407986,3.51222160923918,1.79528773599953,,,,"90.4",2147,"5.8",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.68",,,,,,,,83,2,"4-Seam Fastball",15,4,4,15,4,15,4,15,"Infield shade","Standard",151,"0","-0.055",,,,,"0.055",,11,-11,0.999,0.0010000000000000009,33,28,34,28,1,3,2,1,6,3,"1.51","0.45","0.45","48.3",,,,,
"FF","2023-09-20","91.8","1.39","6.54","Smith, Will",624512,519293,,"ball",,,,,13,,"R","L","L","TEX","BOS","B",,,0,0,2023,"0.43","1.32",-1.1832707832695686,2.4127824308716326,,807799,666915,0,9,"Top",,,,,,,-7.4034611794177545,-133.41457851490986,-7.443537405207585,6.651113920935384,26.90305882320412,-15.028631957065468,3.56569799993946,1.79528773599953,,,,"91.7",2232,"6.2",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.34",,,,,,,,83,1,"4-Seam Fastball",15,4,4,15,4,15,4,15,"Infield shade","Standard",147,"0","0.042",,,,,"-0.042",,11,-11,0.999,0.0010000000000000009,33,28,34,28,1,3,2,1,6,3,"1.38","0.43","0.43","44.5",,,,,
"CU","2023-09-20","74.9","1.57","6.64","Smith, Will",666915,519293,"single","hit_into_play",,,,,5,"Bobby Dalbec singles on a sharp line drive to left fielder Robbie Grossman. Masataka Yoshida to 2nd.","R","R","L","TEX","BOS","X",7,"line_drive",0,0,2023,"-0.73","-0.81",0.03941364502749101,2.2545655742316075,,,807799,0,9,"Top",68.6,107.83,,,,,-1.850095871649026,-109.14102934843116,-0.45192288940385805,-5.499145037034502,20.0736919805325,-38.75674881217832,3.42,1.66,174,"104.3",12,"74.4",2071,"5.9",716507,595978,663993,677649,673962,669701,543257,665750,608671,"54.59",0.945,0.956,"0.9",1,1,0,4,82,1,"Curveball",15,4,4,15,4,15,4,15,"Standard","Standard",324,"0","0.452","75.5","7.4",,1.254,"-0.452","104.3",11,-11,0.999,0.0010000000000000009,33,28,34,28,1,3,2,1,6,2,"4.88","-0.73","0.73","46.7",18.24919523056238,-1.2787710342925667,38.66926184241779,37.762485636671784,37.83075776652134
"FF","2023-09-18","93.2","1.2","6.54","Smith, Will",608701,519293,"single","hit_into_play",,,,,2,"Rob Refsnyder singles on a sharp line drive to center fielder Leody Taveras. Luis Urias scores. Connor Wong scores. Rafael Devers to 3rd.","R","R","L","TEX","BOS","X",8,"line_drive",3,2,2023,"0.37","1.31",-0.20703365092372517,2.9381264203009785,649966,657136,646240,1,8,"Top",146.06,107.5,,,,,-4.408032106959549,-135.5835759843547,-6.392414291818191,5.487262144952053,28.175887194187858,-14.786658628623783,3.47,1.57,181,"101.9",8,"93.3",2132,"6.3",716533,641680,663993,543760,673962,608369,694497,665750,666969,"54.25",0.697,0.646,"0.9",1,1,0,4,57,6,"4-Seam Fastball",2,1,1,2,3,2,3,2,"Standard","Standard",147,"-0.299","0.419","69.9","6.0",,0.784,"-0.419","101.9",1,-1,0.484,0.516,33,32,34,32,1,3,2,1,2,2,"1.3","0.37","-0.37","45.1",9.378261935378246,24.85895484893378,30.474280601628486,34.17169171622979,22.125335743257367
"FF","2023-09-18","92","1.18","6.47","Smith, Will",608701,519293,,"blocked_ball",,,,,13,,"R","R","L","TEX","BOS","B",,,2,2,2023,"0.4","1.16",-2.3085625499649534,1.6457372774795098,649966,657136,646240,1,8,"Top",,,,,,,-9.675402805677672,-133.51229024329754,-8.94551044618498,6.682332076558595,26.027597565856727,-16.481756161892218,3.54304136338637,1.48664361060325,,,,"92.1",2146,"6.3",716533,641680,663993,543760,673962,608369,694497,665750,666969,"54.21",,,,,,,,57,5,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",143,"-0.056","0.085",,,,,"-0.085",,1,-1,0.54,0.45999999999999996,33,32,34,32,1,3,2,1,2,2,"1.52","0.4","-0.4","45.3",,,,,
"SL","2023-09-18","82.3","1.46","6.44","Smith, Will",608701,519293,,"ball",,,,,14,,"R","R","L","TEX","BOS","B",,,1,2,2023,"-0.58","-0.23",0.17402299840353147,1.150622837583847,649966,657136,646240,1,8,"Top",,,,,,,-1.792281603676673,-119.80150355215596,-5.038025292322145,-5.3041485761352565,22.15572862768156,-33.71549282260098,3.51630323045372,1.53994087791001,,,,"82.3",2432,"6.2",716533,641680,663993,543760,673962,608369,694497,665750,666969,"54.32",,,,,,,,57,4,"Slider",2,1,1,2,1,2,1,2,"Standard","Standard",310,"-0.026","0.038",,,,,"-0.038",,1,-1,0.566,0.43400000000000005,33,32,34,32,1,3,2,1,2,2,"3.59","-0.58","0.58","43.5",,,,,
"SL","2023-09-18","80.4","1.44","6.39","Smith, Will",608701,519293,,"called_strike",,,,,8,,"R","R","L","TEX","BOS","S",,,1,1,2023,"-0.87","0.17",-0.23487396952838258,1.4434906119905793,649966,657136,646240,1,8,"Top",,,,,,,-2.0736015485496297,-117.10078923411781,-4.656327837272011,-7.62631764374743,20.867856883388562,-29.94806722707105,3.5685760703036,1.51216291963031,,,,"80.8",2436,"6.4",716533,641680,663993,543760,673962,608369,694497,665750,666969,"54.14",,,,,,,,57,3,"Slider",2,1,1,2,1,2,1,2,"Standard","Standard",311,"0.043","-0.071",,,,,"0.071",,1,-1,0.523,0.477,33,32,34,32,1,3,2,1,2,2,"3.33","-0.87","0.87","42.4",,,,,
