Date,Catcher_Name,Pitcher_Name,Runner_Name,Fielder_Name,Target Base,Result,Runner_Stealing_Runs,Lead_Distance_Gained,Pitcher_First_Move,At_Pitch_Release,Extra,Runner_Full_Name,Runner_ID
4/7/2023,"Bethancourt, C.","Eflin, Z.","Ruiz, E.","Franco, W.",2B,SB,0.2,10.1,13.2,23.3,,"Ruiz, Esteury",665923
4/15/2023,"Alvarez, F.","Raley, B.","Ruiz, E.","McNeil, J.",2B,SB,0.2,12.1,10.9,23,,"Ruiz, Esteury",665923
4/16/2023,"Alvarez, F.","Buttó, J.","Ruiz, E.","Lindor, F.",2B,SB,0.2,10,12.4,22.4,,"Ruiz, Esteury",665923
4/19/2023,"Barnhart, T.","Steele, J.","Ruiz, E.","Hoerner, N.",2B,SB,0.2,11.7,9.5,21.1,,"Ruiz, Esteury",665923
4/26/2023,"Thaiss, M.","Sandoval, P.","Ruiz, E.","Drury, B.",2B,SB,0.2,9.1,10.2,19.3,,"Ruiz, Esteury",665923
4/26/2023,"Thaiss, M.","Sandoval, P.","Ruiz, E.",--,2B,SB,0.2,8.2,12.2,20.4,,"Ruiz, Esteury",665923
4/26/2023,"Thaiss, M.","Sandoval, P.","Ruiz, E.",--,3B,SB,0.2,12.2,13.3,25.5,,"Ruiz, Esteury",665923
4/27/2023,"Wallach, C.","Ohtani, S.","Ruiz, E.","Urshela, G.",2B,SB,0.2,7.9,12.5,20.4,,"Ruiz, Esteury",665923
4/28/2023,"Stephenson, T.","Law, D.","Ruiz, E.",--,3B,SB,0.2,14.5,13.8,28.4,,"Ruiz, Esteury",665923
5/3/2023,"Murphy, T.","Gilbert, L.","Ruiz, E.",--,2B,SB,0.2,6.6,12.1,18.7,,"Ruiz, Esteury",665923
5/3/2023,"Murphy, T.","Gilbert, L.","Ruiz, E.",--,3B,SB,0.2,12,14.3,26.3,,"Ruiz, Esteury",665923
5/5/2023,"Perez, S.","Hernández, C.","Ruiz, E.","Dozier, H.",3B,SB,0.2,16.8,15.8,32.5,,"Ruiz, Esteury",665923
5/7/2023,"Perez, S.","Yarbrough, R.","Ruiz, E.","Witt Jr., B.",2B,CS,-0.45,6.9,10.3,17.2,,"Ruiz, Esteury",665923
5/8/2023,"Trevino, J.","Marinaccio, R.","Ruiz, E.","Torres, G.",2B,SB,0.2,9.5,13.3,22.8,,"Ruiz, Esteury",665923
5/11/2023,"Heim, J.","Eovaldi, N.","Ruiz, E.","Duran, E.",2B,CS,-0.45,10.1,12.4,22.6,,"Ruiz, Esteury",665923
5/13/2023,"León, S.","Gray, J.","Ruiz, E.","Duran, E.",2B,SB,0.2,9.4,12.7,22.1,,"Ruiz, Esteury",665923
5/15/2023,"Moreno, G.","Kelly, M.","Ruiz, E.","Perdomo, G.",2B,SB,0.2,13.4,11.7,25.2,,"Ruiz, Esteury",665923
5/16/2023,"Moreno, G.","Henry, T.","Ruiz, E.","Longoria, E.",3B,SB,0.2,18.3,15.8,34.1,,"Ruiz, Esteury",665923
5/17/2023,"Herrera, J.","Nelson, R.","Ruiz, E.","Perdomo, G.",3B,BK,0.2,--,--,--,,"Ruiz, Esteury",665923
5/19/2023,"Maldonado, M.","Bielak, B.","Ruiz, E.","Altuve, J.",2B,SB,0.2,8.3,13.2,21.4,,"Ruiz, Esteury",665923
5/20/2023,"Maldonado, M.","Brown, H.","Ruiz, E.","Peña, J.",2B,SB,0.2,14,13.4,27.4,,"Ruiz, Esteury",665923
5/20/2023,"Maldonado, M.","Neris, H.","Ruiz, E.","Peña, J.",2B,SB,0.2,9,14.8,23.8,,"Ruiz, Esteury",665923
5/21/2023,"Maldonado, M.","Valdez, F.","Ruiz, E.",--,3B,SB,0.2,20,19.8,39.8,,"Ruiz, Esteury",665923
5/23/2023,"Murphy, T.","Gonzales, M.","Ruiz, E.","Wong, K.",2B,SB,0.2,6.4,13.1,19.4,,"Ruiz, Esteury",665923
5/26/2023,"Maldonado, M.","Brown, H.","Ruiz, E.","Dubón, M.",2B,SB,0.2,10.7,13.3,24,,"Ruiz, Esteury",665923
