,Unnamed: 0,index,player,matchNum,positions,shots,shotsOnTarget,goals,passCompletion,keyPasses,assists,successfulDribbles,tackles,interceptions,penaltiesWon,ownGoal,foulCommitted,penaltyConceded,poorShots,dispossessed,dispossessedOwnHalf,miscontrol,miscontrolOwnHalf,errors,yellowCard,redCard,blocks,clearances,headedClearance,recoveries,dribbledPast,match_id,match_date,home_team,away_team,competition_stage,fotmobRating,is_attacker,is_midfielder,is_defender
0,0,1092,Abdullah Ibrahim Otayf,7525,['Center Defensive Midfield'],0,0,0,87.0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,2,0,0,5,2,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,5.8,0,1,0
1,1,1091,Mohammad Ibrahim Al Sahlawi,7525,"['Center Forward', 'Right Center Forward']",1,0,0,70.0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,5.7,1,0,0
2,2,1094,Salman Mohammed Al Faraj,7525,['Left Center Midfield'],0,0,0,89.0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,5,0,6,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,7.5,0,1,0
3,3,1095,Salem Mohammed Al Dawsari,7525,['Left Midfield'],2,0,0,93.0,1,0,0,3,0,0,0,0,0,2,6,1,4,1,0,0,0,3,0,0,4,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,6.7,0,1,0
4,4,1096,Yasir Gharsan Al Shahrani,7525,['Left Back'],2,0,0,71.0,1,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,3,3,0,3,1,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,5.2,0,0,1
5,5,1097,Yehya Sulaiman Ali Al-Shehri,7525,['Right Midfield'],0,0,0,87.0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,3,0,0,4,1,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,5.5,0,1,0
6,6,1098,Aleksandr Samedov,7525,['Right Midfield'],2,0,0,84.0,1,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,1,1,0,6,1,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,7.0,0,1,0
7,7,1099,Fyodor Smolov,7525,['Center Forward'],0,0,0,65.0,2,0,1,0,0,0,0,2,0,0,6,1,4,0,0,0,0,0,0,0,4,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,5.8,1,0,0
8,8,1100,Taisir Jabir Al Jassim,7525,['Right Center Midfield'],0,0,0,86.0,1,0,0,1,0,0,0,4,0,0,3,1,2,1,0,1,0,2,1,0,2,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,5.8,0,1,0
9,9,1101,Sergei Ignashevich,7525,['Left Center Back'],0,0,0,67.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,7.8,0,0,1
10,10,1102,Omar Ibrahim Omar Othman Hawsawi,7525,['Left Center Back'],0,0,0,76.0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,6.1,0,0,1
11,11,1103,Mário Figueira Fernandes,7525,['Right Back'],0,0,0,81.0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,7.5,0,0,1
12,12,1104,Roman Zobnin,7525,"['Right Center Midfield', 'Left Center Midfield']",2,1,0,54.0,1,1,0,3,0,0,0,1,0,1,2,0,1,1,0,0,0,3,0,0,5,1,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,8.5,0,1,0
13,13,1105,Yuri Zhirkov,7525,['Left Back'],1,0,0,61.0,0,0,1,2,0,0,0,2,0,0,1,1,1,0,0,0,0,1,1,0,3,1,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,7.3,0,0,1
14,14,1106,Osama Abdulrezag Hawsawi,7525,['Right Center Back'],0,0,0,82.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,3,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,5.2,0,0,1
15,15,1107,Mohammed Al Burayk,7525,['Right Back'],0,0,0,81.0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,3,1,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,4.8,0,0,1
16,16,1108,Yury Gazinskiy,7525,"['Left Center Midfield', 'Right Center Midfield']",1,1,1,81.0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,5,0,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,8.3,0,1,0
17,17,1109,Aleksandr Golovin,7525,"['Left Midfield', 'Center Attacking Midfield']",1,1,1,67.0,2,2,1,0,0,0,0,6,0,0,5,0,0,0,0,1,0,5,0,0,9,1,7525,2018-06-14,Russia,Saudi Arabia,Group Stage,9.3,0,1,0
