,player,matchNum,Team
0,Andrej Kramarić,3869519,Croatia
1,Dejan Lovren,3869519,Croatia
2,Nicolás Hernán Otamendi,3869519,Argentina
3,Marcelo Brozović,3869519,Croatia
4,Josip Juranović,3869519,Croatia
5,Borna Sosa,3869519,Croatia
6,Joško Gvardiol,3869519,Croatia
7,Alexis Mac Allister,3869519,Argentina
8,Nicolás Alejandro Tagliafico,3869519,Argentina
9,Cristian Gabriel Romero,3869519,Argentina
10,Rodrigo Javier De Paul,3869519,Argentina
11,Nahuel Molina Lucero,3869519,Argentina
12,Leandro Daniel Paredes,3869519,Argentina
13,Mateo Kovačić,3869519,Croatia
14,Luka Modrić,3869519,Croatia
15,Enzo Fernandez,3869519,Argentina
16,Lionel Andrés Messi Cuccittini,3869519,Argentina
17,Julián Álvarez,3869519,Argentina
18,Ivan Perišić,3869519,Croatia
19,Mario Pašalić,3869519,Croatia
20,Nikola Vlašić,3869519,Croatia
21,Bruno Petković,3869519,Croatia
22,Mislav Oršić,3869519,Croatia
23,Lisandro Martínez,3869519,Argentina
24,Marko Livaja,3869519,Croatia
25,Paulo Bruno Exequiel Dybala,3869519,Argentina
26,Exequiel Alejandro Palacios,3869519,Argentina
27,Lovro Majer,3869519,Croatia
28,Juan Marcos Foyth,3869519,Argentina
29,Ángel Martín Correa,3869519,Argentina
30,Sofyan Amrabat,3869552,Morocco
31,Achraf Dari,3869552,Morocco
32,Jawad El Yamiq,3869552,Morocco
33,Romain Saïss,3869552,Morocco
34,Azzedine Ounahi,3869552,Morocco
35,Sofiane Boufal,3869552,Morocco
36,Aurélien Djani Tchouaméni,3869552,France
37,Antoine Griezmann,3869552,France
38,Ousmane Dembélé,3869552,France
39,Jules Koundé,3869552,France
40,Noussair Mazraoui,3869552,Morocco
41,Hakim Ziyech,3869552,Morocco
42,Achraf Hakimi Mouh,3869552,Morocco
43,Youssouf Fofana,3869552,France
44,Theo Bernard François Hernández,3869552,France
45,Ibrahima Konaté,3869552,France
46,Raphaël Varane,3869552,France
47,Kylian Mbappé Lottin,3869552,France
48,Youssef En-Nesyri,3869552,Morocco
49,Olivier Giroud,3869552,France
50,Selim Amallah,3869552,Morocco
51,Yahia Attiyat allah,3869552,Morocco
52,Abderrazak Hamdallah,3869552,Morocco
53,Marcus Thuram,3869552,France
54,Zakaria Aboukhlal,3869552,Morocco
55,Randal Kolo Muani,3869552,France
56,Abdessamad Ezzalzouli,3869552,Morocco
57,Mateo Kovačić,3869684,Croatia
58,Joško Gvardiol,3869684,Croatia
59,Josip Stanišić,3869684,Croatia
60,Josip Šutalo,3869684,Croatia
61,Luka Modrić,3869684,Croatia
62,Marko Livaja,3869684,Croatia
63,Mislav Oršić,3869684,Croatia
64,Andrej Kramarić,3869684,Croatia
65,Ivan Perišić,3869684,Croatia
66,Lovro Majer,3869684,Croatia
67,Youssef En-Nesyri,3869684,Morocco
68,Jawad El Yamiq,3869684,Morocco
69,Achraf Hakimi Mouh,3869684,Morocco
70,Yahia Attiyat allah,3869684,Morocco
71,Achraf Dari,3869684,Morocco
72,Bilal El Khannous,3869684,Morocco
73,Sofiane Boufal,3869684,Morocco
74,Abdelhamid Sabiri,3869684,Morocco
75,Hakim Ziyech,3869684,Morocco
76,Sofyan Amrabat,3869684,Morocco
77,Ilias Chair,3869684,Morocco
78,Azzedine Ounahi,3869684,Morocco
79,Badr Banoun,3869684,Morocco
80,Anass Zaroury,3869684,Morocco
81,Nikola Vlašić,3869684,Croatia
82,Bruno Petković,3869684,Croatia
83,Selim Amallah,3869684,Morocco
84,Mario Pašalić,3869684,Croatia
85,Antoine Griezmann,3869685,France
86,Aurélien Djani Tchouaméni,3869685,France
87,Nahuel Molina Lucero,3869685,Argentina
88,Rodrigo Javier De Paul,3869685,Argentina
89,Cristian Gabriel Romero,3869685,Argentina
90,Nicolás Hernán Otamendi,3869685,Argentina
91,Nicolás Alejandro Tagliafico,3869685,Argentina
92,Theo Bernard François Hernández,3869685,France
93,Adrien Rabiot,3869685,France
94,Raphaël Varane,3869685,France
95,Jules Koundé,3869685,France
96,Alexis Mac Allister,3869685,Argentina
97,Lionel Andrés Messi Cuccittini,3869685,Argentina
98,Ángel Fabián Di María Hernández,3869685,Argentina
99,Olivier Giroud,3869685,France
100,Enzo Fernandez,3869685,Argentina
101,Kylian Mbappé Lottin,3869685,France
102,Ousmane Dembélé,3869685,France
103,Julián Álvarez,3869685,Argentina
104,Dayotchanculle Upamecano,3869685,France
105,Randal Kolo Muani,3869685,France
106,Marcus Thuram,3869685,France
107,Marcos Javier Acuña,3869685,Argentina
108,Eduardo Camavinga,3869685,France
109,Kingsley Coman,3869685,France
110,Gonzalo Ariel Montiel,3869685,Argentina
111,Youssouf Fofana,3869685,France
112,Leandro Daniel Paredes,3869685,Argentina
113,Lautaro Javier Martínez,3869685,Argentina
114,Ibrahima Konaté,3869685,France
115,Paulo Bruno Exequiel Dybala,3869685,Argentina
116,Germán Alejandro Pezzella,3869685,Argentina
