player,fotmobRating,matchNum,positions,shots,shotsOnTarget,goals,passCompletion,keyPasses,assists,successfulDribbles,tackles,interceptions,penaltiesWon,ownGoal,foulCommitted,penaltyConceded,poorShots,dispossessed,dispossessedOwnHalf,miscontrol,miscontrolOwnHalf,errors,yellowCard,redCard,match_id,match_date,home_team,away_team,competition_stage
Abdullah Ibrahim Otayf,5.8,7525,['Center Defensive Midfield'],0,0,0,87,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Mohammad Ibrahim Al Sahlawi,5.7,7525,"['Center Forward', 'Right Center Forward']",1,0,0,70,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Salman Mohammed Al Faraj,7.5,7525,['Left Center Midfield'],0,0,0,89,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Salem Mohammed Al Dawsari,6.7,7525,['Left Midfield'],2,0,0,93,1,0,0,3,0,0,0,0,0,2,6,1,4,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Yasir Gharsan Al Shahrani,5.2,7525,['Left Back'],2,0,0,71,1,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Yehya Sulaiman Ali Al-Shehri,5.5,7525,['Right Midfield'],0,0,0,87,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Aleksandr Samedov,7,7525,['Right Midfield'],2,0,0,84,1,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Fyodor Smolov,5.8,7525,['Center Forward'],0,0,0,65,2,0,1,0,0,0,0,2,0,0,6,1,4,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Taisir Jabir Al Jassim,5.8,7525,['Right Center Midfield'],0,0,0,86,1,0,0,1,0,0,0,4,0,0,3,1,2,1,0,1,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Sergei Ignashevich,7.8,7525,['Left Center Back'],0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
