"player","pos","g","rbi","ab","r","h","x2b","x3b","tb","hr","ibb","bb","hbp","sf","sh","k","kl","dp","gdp","tp","sb","cs","picked","go","fo","team","opponent","game_id","game_date","season"
"Jefferson, Janae","2B",1,0,3,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"Texas","FGCU",2189774,"02/12/2022",2022
"Parker, McKenzie","SS",1,0,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Texas","FGCU",2189774,"02/12/2022",2022
"Day, Courtney","DP",1,3,4,2,2,1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Texas","FGCU",2189774,"02/12/2022",2022
"Iakopo, Mary","1B",1,1,4,1,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Texas","FGCU",2189774,"02/12/2022",2022
"Whitaker, Jordyn","PH",1,2,1,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","FGCU",2189774,"02/12/2022",2022
"Cantu, Brianna","LF",1,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,"Texas","FGCU",2189774,"02/12/2022",2022
"Burke, Lauren","RF",1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,"Texas","FGCU",2189774,"02/12/2022",2022
"Washington, Alyssa","3B",1,1,3,1,2,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Texas","FGCU",2189774,"02/12/2022",2022
"Popelka, Alyssa","PR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","FGCU",2189774,"02/12/2022",2022
"Smith, JJ","C",1,1,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Texas","FGCU",2189774,"02/12/2022",2022
"Dayton, Isabella","CF",1,1,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Texas","FGCU",2189774,"02/12/2022",2022
"Dolcini, Hailey","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","FGCU",2189774,"02/12/2022",2022
"Jefferson, Janae","2B",1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,"Texas","Boston College",2190079,"02/12/2022",2022
"Parker, McKenzie","SS",1,0,3,1,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Corona, Camille","PR",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Holmes, Mya","PH",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Day, Courtney","DP",1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Iakopo, Mary","1B",1,2,2,2,1,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Cantu, Bree","LF",1,3,2,1,2,0,0,5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Burke, Lauren","PH",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Texas","Boston College",2190079,"02/12/2022",2022
"Smith, JJ","C",1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,"Texas","Boston College",2190079,"02/12/2022",2022
"Quiroga, Vanessa","PH",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Washington, Alyssa","3B",1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,"Texas","Boston College",2190079,"02/12/2022",2022
"Whitaker, Jordyn","PH",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Texas","Boston College",2190079,"02/12/2022",2022
"Gilbert, Lou","RF",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Texas","Boston College",2190079,"02/12/2022",2022
"Dayton, Isabella","CF",1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,"Texas","Boston College",2190079,"02/12/2022",2022
"Hulon, Logan","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190079,"02/12/2022",2022
"Jefferson, Janae","2B",1,0,3,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Parker, McKenzie","SS",1,2,4,1,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"Texas","Boston College",2190216,"02/13/2022",2022
"Gilbert, Lou","PR/RF",1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Day, Courtney","DP",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Iakopo, Mary","1B",1,0,3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Cantu, Bree","C",1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,"Texas","Boston College",2190216,"02/13/2022",2022
"Popelka, Alyssa","PR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Burke, Lauren","LF",1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Washington, Alyssa","3B",1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Texas","Boston College",2190216,"02/13/2022",2022
"Corona, Camille","PR",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Quiroga, Vanessa","PH",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Texas","Boston College",2190216,"02/13/2022",2022
"Whitaker, Jordyn","RF/DP",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Holmes, Mya","PH",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Dayton, Isabella","CF",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Texas","Boston College",2190216,"02/13/2022",2022
"O'Leary, Shealyn","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Czech, Estelle","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas","Boston College",2190216,"02/13/2022",2022
"Jefferson, Janae","2B",1,1,3,2,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,"Texas","McNeese",2190408,"02/16/2022",2022
"Scott, Mia","3B",1,1,3,2,2,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"Texas","McNeese",2190408,"02/16/2022",2022
