"game_id","team","opponent","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","season"
2189774,"Texas","FGCU","Dolcini, Hailey",6,2,2,3,0,12,23,0,2,4,2022
2190079,"Texas","Boston College","Hulon, Logan",7,2,0,1,0,5,24,0,9,6,2022
2190216,"Texas","Boston College","O'Leary, Shealyn",2,1,0,0,0,2,7,0,4,0,2022
2190216,"Texas","Boston College","Czech, Estelle",5,1,0,0,0,0,17,0,7,7,2022
2190408,"Texas","McNeese","Hulon, Logan",2,1,0,0,0,0,6,0,1,3,2022
2190408,"Texas","McNeese","Czech, Estelle",0.2,2,0,0,1,0,5,0,1,1,2022
2190408,"Texas","McNeese","Simpson, Sophia",4.1,6,1,2,0,9,21,0,3,1,2022
2190555,"Texas","Florida St.","Hulon, Logan",1.1,5,5,1,0,2,10,1,2,0,2022
2190555,"Texas","Florida St.","Czech, Estelle",2.2,1,0,2,0,3,10,0,2,2,2022
2190555,"Texas","Florida St.","O'Leary, Shealyn",2,5,3,2,0,3,12,0,0,2,2022
2190556,"Texas","Auburn","Simpson, Sophia",1.2,0,0,1,0,4,7,0,1,0,2022
2190556,"Texas","Auburn","Dolcini, Hailey",5.1,6,4,2,0,5,25,2,4,6,2022
2190897,"Texas","UCF","Czech, Estelle",1.1,3,2,0,0,1,6,0,1,1,2022
2190897,"Texas","UCF","O'Leary, Shealyn",1,2,3,2,0,2,8,0,1,0,2022
2190897,"Texas","UCF","Hulon, Logan",2,1,1,1,0,2,7,0,1,2,2022
2190897,"Texas","UCF","Dolcini, Hailey",2.2,5,3,3,0,1,20,1,7,0,2022
2190898,"Texas","UCLA","Czech, Estelle",1,2,0,0,0,1,5,0,2,0,2022
2190898,"Texas","UCLA","Simpson, Sophia",5,6,2,1,0,3,22,1,8,3,2022
2191313,"Texas","Notre Dame","Dolcini, Hailey",0.2,0,4,2,2,0,6,0,1,1,2022
2191313,"Texas","Notre Dame","Czech, Estelle",6.1,8,3,2,0,5,29,1,8,6,2022
2191590,"Texas","UTSA","Simpson, Sophia",6,0,0,4,0,12,21,0,3,2,2022
2191635,"Texas","Arizona St.","Czech, Estelle",1.2,1,0,0,0,3,6,0,0,2,2022
2191635,"Texas","Arizona St.","Dolcini, Hailey",5.1,1,2,4,1,2,24,0,7,7,2022
2191997,"Texas","Texas St.","Simpson, Sophia",4,5,0,1,0,3,19,0,7,2,2022
2191997,"Texas","Texas St.","O'Leary, Shealyn",3,3,1,2,0,1,14,0,5,2,2022
2192238,"Texas","Tulsa","O'Leary, Shealyn",1,0,0,0,0,1,3,0,1,1,2022
2192238,"Texas","Tulsa","Czech, Estelle",4,3,1,1,1,4,16,0,4,3,2022
2192870,"Texas","Sam Houston","Dolcini, Hailey",7,2,0,2,1,14,26,0,6,2,2022
2193049,"Texas","Alabama","Simpson, Sophia",6,7,4,3,0,5,27,1,7,5,2022
2193394,"Texas","Alabama","Hulon, Logan",0.1,0,0,0,0,0,1,0,0,1,2022
2193394,"Texas","Alabama","Dolcini, Hailey",5.2,4,3,6,0,4,27,0,8,5,2022
2193667,"Texas","Miami (OH)","O'Leary, Shealyn",1.1,1,0,1,0,3,6,0,1,0,2022
2193667,"Texas","Miami (OH)","Czech, Estelle",3.2,5,1,1,0,3,19,0,1,7,2022
2194014,"Texas","Miami (OH)","Hulon, Logan",0.1,2,2,0,0,1,3,2,0,0,2022
2194014,"Texas","Miami (OH)","O'Leary, Shealyn",2.2,2,1,1,0,3,11,1,3,2,2022
2194014,"Texas","Miami (OH)","Simpson, Sophia",4,5,3,1,0,4,18,2,4,4,2022
2194853,"Texas","Minnesota","Czech, Estelle",2.1,3,2,1,0,2,12,0,1,4,2022
2194853,"Texas","Minnesota","Dolcini, Hailey",1,2,4,2,0,1,6,2,0,1,2022
2194853,"Texas","Minnesota","O'Leary, Shealyn",1.2,1,0,0,0,2,6,0,1,2,2022
2194853,"Texas","Minnesota","Simpson, Sophia",1,1,4,4,0,2,8,1,0,1,2022
2195212,"Texas","Minnesota","O'Leary, Shealyn",1,2,1,0,0,1,5,1,2,0,2022
2195212,"Texas","Minnesota","Dolcini, Hailey",4,5,2,3,1,8,21,1,0,4,2022
2195214,"Texas","Nicholls","O'Leary, Shealyn",1,0,0,0,0,2,3,0,0,1,2022
2195214,"Texas","Nicholls","Simpson, Sophia",4,3,0,1,0,7,16,0,2,3,2022
