"away_team","away_team_runs","home_team","home_team_runs","game_date","Season","game_id"
"Clemson",0,"Texas",4,2022-02-11,2022,1e+05
"Texas",4,"FGCU",6,2022-02-11,2022,100001
"Texas",10,"FGCU",2,2022-02-12,2022,2189774
"Texas",7,"Boston College",0,2022-02-12,2022,2190079
"Boston College",0,"Texas",5,2022-02-13,2022,2190216
"McNeese",4,"Texas",8,2022-02-16,2022,2190408
"Texas",2,"Florida St.",9,2022-02-18,2022,2190555
"Auburn",6,"Texas",2,2022-02-18,2022,2190556
"UCF",15,"Texas",10,2022-02-19,2022,2190897
"Texas",1,"UCLA",2,2022-02-19,2022,2190898
"Notre Dame",9,"Texas",2,2022-02-20,2022,2191313
"Arizona St.",2,"Texas",0,2022-02-25,2022,2191635
"UTSA",0,"Texas",8,2022-02-27,2022,2191590
"Tulsa",1,"Texas",14,2022-02-27,2022,2192238
"Tulsa",1,"Texas",5,2022-02-28,2022,2259282
"Texas St.",2,"Texas",5,2022-02-28,2022,2191997
"Sam Houston",0,"Texas",2,2022-03-02,2022,2192870
"Texas",4,"Alabama",5,2022-03-04,2022,2193049
"Texas",1,"Alabama",3,2022-03-05,2022,2193394
"Texas",14,"Miami (OH)",3,2022-03-05,2022,2193667
"Miami (OH)",6,"Texas",7,2022-03-06,2022,2194014
"Texas",8,"North Texas",2,2022-03-09,2022,100002
"Minnesota",3,"Texas",12,2022-03-12,2022,2195212
"Nicholls",0,"Texas",9,2022-03-12,2022,2195214
"Minnesota",10,"Texas",10,2022-03-13,2022,2194853
"Drake",0,"Texas",7,2022-03-13,2022,2195626
"Texas",10,"Louisiana",2,2022-03-16,2022,2196200
"Texas",3,"Louisiana",2,2022-03-16,2022,2206476
"LSU",0,"Texas",3,2022-03-18,2022,2196569
"LSU",0,"Texas",4,2022-03-19,2022,2196935
"LSU",10,"Texas",11,2022-03-19,2022,2206934
"Lamar University",0,"Texas",8,2022-03-22,2022,2197535
"Texas",4,"Texas St.",2,2022-03-23,2022,2197666
"Texas",7,"Kansas",6,2022-03-25,2022,2197921
"Texas",9,"Kansas",2,2022-03-26,2022,2198123
"Texas",11,"Kansas",2,2022-03-27,2022,2198526
"Louisiana",6,"Texas",5,2022-03-30,2022,2198904
"Iowa St.",5,"Texas",7,2022-04-01,2022,2199141
"Iowa St.",10,"Texas",11,2022-04-02,2022,2199320
"Iowa St.",2,"Texas",7,2022-04-03,2022,2199766
"UT Arlington",4,"Texas",14,2022-04-06,2022,2200149
"Oklahoma",3,"Texas",0,2022-04-14,2022,2201559
"Oklahoma",9,"Texas",1,2022-04-15,2022,2201693
"Oklahoma",2,"Texas",4,2022-04-16,2022,2201989
"Houston",4,"Texas",6,2022-04-20,2022,2202572
"Texas",2,"Oklahoma St.",3,2022-04-22,2022,2202790
"Texas",0,"Oklahoma St.",3,2022-04-24,2022,2202966
"Texas",1,"Oklahoma St.",2,2022-04-24,2022,2203422
"Texas",5,"Texas Tech",4,2022-04-29,2022,2203861
"Texas",11,"Texas Tech",1,2022-04-30,2022,2204049
"Texas",7,"Texas Tech",6,2022-04-30,2022,2204444
"Texas",10,"Baylor",6,2022-05-06,2022,2204756
"Baylor",17,"Texas",3,2022-05-07,2022,2204878
"Baylor",0,"Texas",6,2022-05-08,2022,2204958
"Texas Tech",1,"Texas",9,2022-05-12,2022,2269072
"Texas",1,"Oklahoma St.",6,2022-05-13,2022,2269070
"Weber St.",0,"Texas",6,2022-05-20,2022,2274846
"Texas",8,"Washington",2,2022-05-21,2022,2274848
"Texas",3,"Washington",2,2022-05-22,2022,2275561
"Washington",2,"Texas",1,2022-05-22,2022,2274851
"Texas",1,"Arkansas",7,2022-05-26,2022,2274785
"Arkansas",1,"Texas",3,2022-05-27,2022,2275621
"Texas",3,"Arkansas",0,2022-05-28,2022,2275622
"Texas",7,"UCLA",2,2022-06-02,2022,2275981
"Oklahoma",7,"Texas",2,2022-06-04,2022,2275983
"Arizona",2,"Texas",5,2022-06-05,2022,2275991
"Texas",6,"Oklahoma St.",5,2022-06-06,2022,2276200
"Oklahoma St.",0,"Texas",5,2022-06-06,2022,2275992
"Texas",1,"Oklahoma",16,2022-06-08,2022,2276171
"Oklahoma",10,"Texas",5,2022-06-09,2022,100003
"Texas",9,"Northwestern",10,2023-02-10,2023,2366299
"Texas",11,"Missouri",1,2023-02-10,2023,2366301
"Kentucky",4,"Texas",4,2023-02-12,2023,2367000
"Texas",7,"Illinois",0,2023-02-12,2023,2366648
"Lamar University",2,"Texas",8,2023-02-15,2023,2367208
"Loyola Chicago",4,"Texas",11,2023-02-17,2023,2367284
"Omaha",6,"Texas",7,2023-02-17,2023,2367285
"Omaha",1,"Texas",9,2023-02-18,2023,2367628
"Loyola Chicago",5,"Texas",6,2023-02-18,2023,2367629
"UIW",0,"Texas",8,2023-02-19,2023,2368038
"Virginia Tech",6,"Texas",5,2023-02-24,2023,2368462
"Virginia Tech",2,"Texas",8,2023-02-25,2023,2368796
"Abilene Christian",0,"Texas",8,2023-02-25,2023,2368797
"Texas Southern",0,"Texas",22,2023-02-26,2023,2369278
"North Texas",2,"Texas",4,2023-03-01,2023,2369663
"Tennessee St.",3,"Texas",9,2023-03-03,2023,2369824
"Louisiana",2,"Texas",6,2023-03-03,2023,2369825
"McNeese",0,"Texas",4,2023-03-04,2023,2370180
"Princeton",1,"Texas",2,2023-03-04,2023,2370181
"Louisiana",3,"Texas",8,2023-03-05,2023,2370633
"Texas",12,"UT Arlington",3,2023-03-08,2023,2371386
"Alabama",3,"Texas",5,2023-03-10,2023,2371600
"Wisconsin",1,"Texas",5,2023-03-10,2023,2371811
"Wisconsin",4,"Texas",7,2023-03-11,2023,2372320
"Alabama",4,"Texas",3,2023-03-11,2023,2371965
"Texas St.",5,"Texas",4,2023-03-12,2023,2372400
"Texas",4,"Sam Houston",0,2023-03-14,2023,2372821
"Marist",1,"Texas",9,2023-03-17,2023,2373548
"Texas",3,"South Fla.",4,2023-03-17,2023,2373706
"Texas",5,"Iowa",1,2023-03-18,2023,2373910
"Lehigh",0,"Texas",7,2023-03-18,2023,2373911
"Texas",6,"South Fla.",1,2023-03-19,2023,2374290
"SFA",2,"Texas",13,2023-03-22,2023,2374563
"Texas Tech",2,"Texas",3,2023-03-24,2023,2374814
"Texas Tech",3,"Texas",4,2023-03-25,2023,2375002
"Texas Tech",3,"Texas",8,2023-03-26,2023,2375404
"Texas",1,"Oklahoma",8,2023-03-31,2023,2376127
"Texas",3,"Oklahoma",4,2023-04-01,2023,2376564
"Texas",2,"Oklahoma",10,2023-04-02,2023,2376773
"Texas",8,"Iowa St.",0,2023-04-06,2023,2377198
"Texas",8,"Iowa St.",1,2023-04-07,2023,2377330
"Texas",9,"Iowa St.",1,2023-04-08,2023,2377638
"Texas",4,"Texas St.",0,2023-04-12,2023,2378213
"Kansas",9,"Texas",3,2023-04-14,2023,2378453
"Kansas",0,"Texas",10,2023-04-15,2023,2378641
"Kansas",2,"Texas",3,2023-04-16,2023,2379130
"Oklahoma St.",0,"Texas",1,2023-04-21,2023,2379736
"Oklahoma St.",2,"Texas",3,2023-04-22,2023,2380366
"Oklahoma St.",2,"Texas",5,2023-04-22,2023,2379911
"Sam Houston",2,"Texas",12,2023-05-03,2023,2381653
"Baylor",9,"Texas",1,2023-05-05,2023,2381836
"Texas",2,"Baylor",5,2023-05-06,2023,2382037
"Texas",1,"Baylor",2,2023-05-07,2023,2382122
"Texas Tech",6,"Texas",7,2023-05-11,2023,2429895
"Kansas",1,"Texas",9,2023-05-12,2023,2429878
"Texas",1,"Oklahoma",6,2023-05-13,2023,2429893
"Seton Hall",0,"Texas",8,2023-05-19,2023,2435299
"Texas A&amp;M",1,"Texas",2,2023-05-20,2023,2435301
"Texas",11,"Texas A&amp;M",5,2023-05-21,2023,2435304
"Texas",2,"Tennessee",5,2023-05-26,2023,2435223
"Tennessee",9,"Texas",0,2023-05-27,2023,2435846
"Texas",19,"San Diego",0,2024-02-09,2024,4496869
"Texas",3,"UCLA",2,2024-02-09,2024,4496759
"Texas",16,"UCLA",0,2024-02-10,2024,4497191
"Texas",16,"San Diego",1,2024-02-10,2024,4497192
"Texas",10,"LMU (CA)",2,2024-02-11,2024,4497463
"Stanford",2,"Texas",9,2024-02-16,2024,4497810
"Tennessee",1,"Texas",2,2024-02-16,2024,4497814
"Houston Christian",1,"Texas",14,2024-02-21,2024,4498715
"Louisiana",0,"Texas",5,2024-02-23,2024,4498841
"Colorado St.",0,"Texas",7,2024-02-23,2024,4498842
"Colorado St.",0,"Texas",9,2024-02-24,2024,4499180
"Stanford",4,"Texas",3,2024-02-24,2024,4499181
"Louisiana",4,"Texas",5,2024-02-25,2024,4499604
"Texas",1,"Texas St.",0,2024-02-28,2024,4499967
"Tarleton St.",0,"Texas",17,2024-03-01,2024,4500053
"Northwestern St.",2,"Texas",10,2024-03-01,2024,4500251
"Hofstra",0,"Texas",13,2024-03-02,2024,4500346
"Hofstra",0,"Texas",4,2024-03-03,2024,4500766
"Penn St.",1,"Texas",7,2024-03-04,2024,4472802
"UT Arlington",1,"Texas",8,2024-03-06,2024,4501349
"Texas",10,"Houston",12,2024-03-08,2024,4501617
"Texas",9,"Houston",2,2024-03-09,2024,4501957
