"stadium","capacity"
"Allianz Field",19400
"America First Field",20213
"Audi Field",20000
"Banc of California Stadium",22000
"Bank of America Stadium",40000
"BC Place",22120
"BMO Field",28351
"BMO Stadium",22000
"Chase Stadium",21550
"Children's Mercy Park",18467
"Citi Field",41992
"CityPark",22423
"Dick's Sporting Goods Park",18061
"Dignity Health Sports Park",27000
"DRV PNK Stadium",21000
"Empower Field at Mile High",76125
"Energizer Park",22423
"Exploria Stadium",25500
"GEHA Field at Arrowhead Stadium",76416
"Geodis Park",30000
"Gillette Stadium",20000
"Huntington Bank Field",60000
"Inter&Co Stadium",25000
"Levi's Stadium",68500
"Lower.com Field",20371
"Lumen Field",37722
"M&T Bank Stadium",71008
"Mercedes-Benz Stadium",42500
"Nu Stadium",26700
"Olympic Stadium",56040
"PayPal Park",18000
"PNC Stadium",22039
"Providence Park",25218
"Q2 Stadium",20738
"Red Bull Arena",25000
"Rio Tinto Stadium",20213
"Rose Bowl",92000
"Saputo Stadium",19619
"ScottsMiracle-Gro Field",20011
"SeatGeek Stadium",20000
"Shell Energy Stadium",22039
"Snapdragon Stadium",35000
"Soldier Field",24955
"Sports Illustrated Stadium",25000
"Stanford Stadium",50000
"Subaru Park",18500
"Toyota Stadium",20500
"TQL Stadium",26000
"United Airlines Field at the Los Angeles...",77500
"Yankee Stadium",30321
