"season","game_date","home_team","attendance"
2022,"2022-02-27","Atlanta United FC",67523
2022,"2022-03-13","Atlanta United FC",43055
2022,"2022-03-19","Atlanta United FC",42578
2022,"2022-04-16","Atlanta United FC",42948
2022,"2022-05-07","Atlanta United FC",42547
2022,"2022-05-15","Atlanta United FC",42516
2022,"2022-05-28","Atlanta United FC",42504
2022,"2022-06-19","Atlanta United FC",42539
2022,"2022-07-09","Atlanta United FC",67516
2022,"2022-07-13","Atlanta United FC",42509
2022,"2022-07-17","Atlanta United FC",42526
2022,"2022-08-06","Atlanta United FC",68586
2022,"2022-08-17","Atlanta United FC",42555
2022,"2022-08-28","Atlanta United FC",42561
2022,"2022-09-10","Atlanta United FC",42670
2022,"2022-09-17","Atlanta United FC",42521
2022,"2022-10-09","Atlanta United FC",43312
2023,"2023-02-25","Atlanta United FC",67538
2023,"2023-03-04","Atlanta United FC",42817
2023,"2023-03-18","Atlanta United FC",42648
2023,"2023-04-01","Atlanta United FC",43511
2023,"2023-04-23","Atlanta United FC",43335
2023,"2023-05-13","Atlanta United FC",43427
2023,"2023-05-17","Atlanta United FC",42587
2023,"2023-05-31","Atlanta United FC",42915
2023,"2023-06-10","Atlanta United FC",42539
2023,"2023-06-21","Atlanta United FC",42557
2023,"2023-07-02","Atlanta United FC",43527
2023,"2023-07-15","Atlanta United FC",43576
2023,"2023-08-26","Atlanta United FC",67514
2023,"2023-08-30","Atlanta United FC",42568
2023,"2023-09-16","Atlanta United FC",71635
2023,"2023-09-23","Atlanta United FC",42569
2023,"2023-10-07","Atlanta United FC",42684
2023,"2023-11-07","Atlanta United FC",41850
2024,"2024-03-09","Atlanta United FC",67727
2024,"2024-03-17","Atlanta United FC",42631
2024,"2024-03-31","Atlanta United FC",42525
2024,"2024-04-14","Atlanta United FC",42763
2024,"2024-04-20","Atlanta United FC",42600
2024,"2024-05-04","Atlanta United FC",43338
2024,"2024-05-11","Atlanta United FC",42822
2024,"2024-05-25","Atlanta United FC",43128
2024,"2024-06-02","Atlanta United FC",61209
2024,"2024-06-15","Atlanta United FC",42630
2024,"2024-06-29","Atlanta United FC",42568
2024,"2024-07-17","Atlanta United FC",42524
2024,"2024-07-20","Atlanta United FC",42601
2024,"2024-09-14","Atlanta United FC",43330
2024,"2024-09-18","Atlanta United FC",67795
2024,"2024-10-02","Atlanta United FC",42501
2024,"2024-10-05","Atlanta United FC",43428
2024,"2024-11-02","Atlanta United FC",68455
2025,"2025-02-22","Atlanta United FC",65520
2025,"2025-03-08","Atlanta United FC",42562
2025,"2025-03-16","Atlanta United FC",42843
2025,"2025-03-29","Atlanta United FC",42518
2025,"2025-04-05","Atlanta United FC",41984
2025,"2025-04-12","Atlanta United FC",41879
2025,"2025-05-03","Atlanta United FC",41893
2025,"2025-05-17","Atlanta United FC",40974
2025,"2025-05-25","Atlanta United FC",40919
2025,"2025-05-28","Atlanta United FC",39275
2025,"2025-07-16","Atlanta United FC",38882
2025,"2025-07-19","Atlanta United FC",60005
2025,"2025-07-26","Atlanta United FC",40409
2025,"2025-08-24","Atlanta United FC",39509
2025,"2025-09-13","Atlanta United FC",41089
2025,"2025-09-20","Atlanta United FC",43499
